time,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014,0.0,0.0,7.591600696853902,0.17227887936951103,0.05009726331300752,24.20454376523554,49.51615150441556,30.755002465899242,27.453984258393685,2302.9916067191825,14876.144305834441,0.3746453749333339,1.9725082345843319,1.7612034564908492,1.1038283560508935,0.1339082642076759,5628.742816745978,0.10406261430894327,0.04476485195652421,0.03881930139907907,2.240689887534377,0.37625998228024876,6.677399395922504,107.2602301465286,4.686847452256772,556.7291824119804,1.3213877473291518,0.8713397569692172,43.16839243443665,32.81782874994371,-0.1850211834037656,3.385762836375513,1.6203825426269611,0.04476485195652421,1.7474016909178414,3.356742376193683,0.03990647541343825,-0.0065743597478434895
2015,11.147757821629341,4.650170866171492,8.52034402018077,0.4937219030460265,0.18669789457834135,3.5540307331533274,58.21387732047204,22.563395830643888,32.85049327810031,1717.674135235246,5393.4652539671115,0.3611244739500332,0.7669841712908446,1.3974488057694865,0.4406051062418028,0.15079592312408546,10889.927478227444,0.15815542105110167,0.05059804489223766,0.04048339951481458,0.8517846712317354,0.29155666349202325,1.440979551711344,0.0021497648345258336,2.929343238167202,1279.7318845439443,0.21314618645703418,0.13439151201440422,38.23530337783003,370.12778254074993,-0.861691499105038,4.615760188145121,1.299002548374712,0.05059804489223766,0.8969001677680579,1.910252077699751,-0.1928808730652145,0.1332279204017733
2016,15.68456249994991,5.958009192170867,11.50428243606152,0.44514930377520134,0.13559609219739366,4.358134478174004,68.8219828321984,33.47643625866625,22.825976087533185,2207.168453335107,6646.571460545391,0.3110552882711265,0.6601214616753794,1.2550108390680885,0.4701927599032218,0.6520347054378061,13733.88966910589,0.17681838591249727,0.038739388860884065,0.036722873310728224,1.1179243549251838,0.2838272641230452,1.2457914875849596,82.03247351837763,3.6503722340341125,1188.684875553073,0.29889009625733587,0.10113385964588906,39.78231705215817,246.440792940541,-0.8118964069430943,3.720293267916919,1.2956751308902625,0.038739388860884065,1.0919872832286561,2.640720913030202,-0.5283120386664221,0.08505917164676098
2017,18.78570634713722,6.7949193321933326,10.902126838040383,0.41808471197157265,0.11477994827135549,6.892778674959715,69.96070619208245,40.50769694782688,27.943294583250765,2989.6633032037016,8980.385766405343,0.2963229856559192,0.5278107122446671,1.3184778208190409,0.5195872955603038,0.10832906863730132,13359.309422595308,0.17550135567395284,0.040292433547841275,0.03547199902318476,1.1356573290281546,0.2838289243323475,2.4617749325026335,5.007325768376639,3.7084998916994536,2844.037296345981,0.5565559997045934,0.1356056855299711,35.470849378858574,79.23778368357513,-0.6722788868348565,3.359662593320424,1.2984477522836497,0.040292433547841275,1.0941668796977009,2.6995066227007336,0.07107666830545838,0.11209545642403546
2018,14.041130793863326,4.097052388216543,8.145450249693317,0.35695576455413874,0.11814266360568822,6.414488413395512,72.35378236458132,39.51190627494212,49.957365992350354,3825.4049851841487,12859.568884379827,0.3724058215058937,0.9216087335056861,1.4446625216805686,0.5232341298571498,0.04293818278308924,11856.885683763529,0.20561963719201046,0.05558795378325399,0.04540582879994094,0.7359599190647526,0.2697059971116404,1.4213163689725614,4.892367234934151,2.904679783843506,4624.012838853175,0.3879043993121402,0.12130818170581457,38.4205098676199,96.62046266204212,-0.4035580578109148,3.1919688362557452,1.2873368855689915,0.05558795378325399,1.0939905965391885,1.8999777334140846,-0.08182336566792112,0.086711830541535
2019,15.384859901452339,4.002950687126522,9.79509502727774,0.3219526204627081,0.11128316620340538,7.647318206133492,85.71563541140357,42.39282320274277,90.565280341887,4693.87236781349,16190.769368464835,0.3586307514745339,0.7816245553418977,1.3522106547364092,0.544113446363042,0.15973465914960183,11903.315095316862,0.23095043181774633,0.04674220128289743,0.05096294367661637,1.0486826997869332,0.26805800080593506,2.5945667206501875,18.12304477484521,3.110958248565374,5168.4605590946685,0.25661443972034614,0.1127922067504038,51.73008527437014,255.5550254682066,-0.5813438523689719,2.652252745170838,1.371248438447044,0.04674220128289743,4.805332270951463,2.0990448287978962,-0.07954786760768286,0.056874909389948755
2020,36.756165132841865,3.4122795876061423,-77.85030057503677,0.2323307792057451,0.07446407904915091,53.187470775739804,93.6008924382232,66.93942520028413,12.169955878675687,2189.296486470352,10841.913712937287,0.3906384820118989,1.068064080883301,1.6216998191319647,0.990622430487709,-0.8915042572041388,12955.362542562565,0.2432015359980145,0.07470462751559574,0.042285781080209285,0.9943115993741782,0.3524027447857674,-14.551217873070284,13.39038682465382,2.8509032896111437,6105.563045602954,0.4601121284103781,0.13552723709058603,79.73469101296833,13.868206627994129,-0.48882365741672934,2.3773041518699864,0.7356143968029933,0.07470462751559574,1.1456980941230355,1.837551099237992,-0.0466574391557377,0.01664725332134702
2021,-1.000861078462645,4.64249948667008,-1.0657775748008387,0.2583665990640238,0.0788847108722724,69.75128400656376,84.30819017906575,49.51904544526865,5.17131663454526,3025.8160593263797,13406.248661429643,0.3451509694091425,1.100188616645973,1.5236924222262183,0.8897026684626232,-0.3189193418820294,12528.143893016242,0.19500472093085722,0.04629714890055282,0.03997471197354747,1.224441233961953,0.3700126386803219,1.4737806590678937,9.383454221001754,3.262052500958672,9179.696129155309,0.34390844544792604,0.07114975386298096,106.56061291221286,12.956325448760493,-0.461718012538961,2.369269498458071,0.7934278574470426,0.04629714890055282,1.0419371720538422,2.245104946027902,0.2367509141348009,0.09587374900403849
2022,10.45061972169019,2.7002642243018955,-782.5137322511016,0.17956878365452375,0.06385373719478385,72.26312810194277,88.12748957627475,39.08566198913717,385.54743729889566,2533.326486401824,15278.201233120275,0.4321709280920248,1.0122582540662304,1.7615996955905537,0.881927976164978,-0.08490680071889357,7760.779509299588,0.253014927423743,0.03612128326526672,0.028305167509721077,0.8665261676038812,0.3025108163024999,-108.92060179031886,6.764797129616972,2.5659570645188783,13225.936681723188,0.23005434697486016,0.10005970512540897,121.27927201995428,10.585852921471467,-0.3950560005264678,2.2061529236527058,0.7196047543896902,0.03612128326526672,0.9588379866306285,1.536595597052492,-0.02244446322792552,0.029713549533851653
2023,228.6188285187343,3.5947193358323895,72.49313385169242,0.0036444618597045514,0.011391383591440367,65.01124014217274,86.85882718503598,35.410619092286424,5.580253218864665,31.207336428036168,14703.369292674646,0.36703538038474376,0.8385689978988239,1.6576414910613715,0.9681077001705533,-0.28520924030814226,2329.3535576417576,0.20097670465197362,0.018523299622570856,0.009581490381486623,1.5597973550614126,0.3889338004625643,16.367873869448655,61.06221017109015,3.437592060349858,13547.168968510572,0.3041462832704068,0.08237859809531956,116.71624952030112,14.832353637372625,-0.21811567682430485,2.109924027095479,0.3998508588176355,0.018523299622570856,0.8906473713794606,2.3328243081765914,-0.2444789512838549,-0.006108212165996388
2024,-38.52814267814375,5.218527313364127,29.609724646610054,0.07734687569537661,0.034513471679537784,58.87657422882875,76.2800123099154,37.4061203668797,6.248632056384056,1233.027532205894,16261.136535472024,0.3691615706322762,0.7561130498586425,1.6805867163099932,1.0812439315985791,0.61702288198115,3776.728529154853,0.21837074432145834,0.041892714482445824,0.03379844770023229,1.2897404381390665,0.33086902799861534,6.161915681655757,41.387548269001826,3.2883316906852817,18013.690363946196,0.24838665247923802,0.06335443850637863,98.6433127725687,34.518148641243094,-0.1315672677490037,2.2347635736197042,0.7228087158904399,0.041892714482445824,0.9966096124428996,2.1604688019084732,0.44612076316406357,0.0290240345043747
