time,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014,0.0,0.0,7.0279436716803065,0.04167679004035388,0.10088651718273244,155.09868979455922,16.13883931334938,9.4120018128313,630.6112550894245,665.7839422583309,0.0696536857555566,2.8162836978544887,3.310554379716856,3.279977495766178,0.2894461017348631,161.19377935858796,0.5075376138894291,0.016433806778012726,0.4076278024220761,0.050687669814852614,0.016604872370731837,2.3753862735571665,1.4787132088291435,0.47774735275616237,1674.0100441066716,0.5514064807212443,0.46397846351501293,59.20354960169836,98.47756593907714,-0.4131506311970873,0.24962986186651331,1.1994186577817982,0.016433806778012726,-0.513454957489046,0.8084468101921851,0.38507033488171816,0.021805858215745006
2015,38.73866268355713,1.824959637929423,0.20376729729290569,0.03230750658633595,0.06242526333948535,299.95847140163573,29.557701271797026,14.606258543441236,725.7129379077534,5704.058623470935,0.512523754513669,2.0255232670907573,2.80048914963189,2.7685521193418503,0.4195963559674277,1569.4753934681846,0.5133850688733214,0.2152482647942734,0.24119505941550975,0.49052693207991377,0.21202838501792978,-2.2147911899977677,4.903268000818266,2.225036385789269,2610.2356213726493,0.4813412042968292,0.5036128258157665,155.98361828889492,67.72500898350003,-2.4878769495642903,0.16315483360563127,1.1875650931728778,0.2152482647942734,1.1544298615884092,1.0089446622297837,-0.4435687381599723,0.055230178371743106
2016,130.80934393193937,1.4042628445965404,18.353662832188938,0.08109636572374129,0.04464097974026666,155.02015255098934,15.310183717746126,15.15024016651734,510.18414218141737,6089.613108385761,0.5545655216422435,7.1404602537367925,7.082008358518816,7.0480042549258775,-0.08426526316955069,1800.639046483205,0.6604928436127346,0.22997629302714293,0.1706259713736559,0.5198004222274306,0.27413161224524846,3.172437705412111,1.6508396600117383,2.145676033078031,2944.97868405926,0.2027767790245158,0.22574420223759809,115.62393926993218,192.11370623322784,-0.48821166478872785,0.22348288085114412,1.7479107294631182,0.22997629302714293,1.1030559345582969,0.9335819357868481,-0.041193298477542314,0.008840852654665192
2017,24.15352162537982,1.9393775197596623,10.901025532090776,0.15236082594570421,0.07703682683199864,8.700022509953255,18.452876104001664,10.253674986329345,1006.3152265841993,7337.734724398451,0.4875957205120103,5.029557969607813,5.992451103604748,5.965273000483586,0.17025470693504408,3742.686723798034,0.536254550185289,0.3705642837420465,0.2724413688894705,0.7157727877667641,0.30906286285021856,2.28347444962199,0.6272946044054831,2.4037936071229065,3425.9672536287167,0.1256914668388288,0.10083870043021606,39.925839925416916,0.752899552859535,-0.45563975812657875,0.25295522469754916,1.1370659414864905,0.3705642837420465,0.8011065640047886,1.2390799708624274,-0.9138963531804948,0.04615058926462721
2018,56.41073664159401,1.7382980628205096,17.118310403928355,0.15000227618860912,0.07385512190789566,8.460461417559435,20.916412060005527,14.5917743947697,1192.5693791367503,8016.002709643717,0.4919586717248292,3.756093604579826,4.655336104099782,4.646214301728637,-0.07943835642932881,3847.8818169960387,0.2296586638955907,0.07249951212704157,0.2007206768639661,0.7540794803861329,0.3065426949569337,7.218957741144023,5.478752270121345,2.54250014660481,3940.773184069264,0.15595487361582236,0.13627608832990118,18.311952090419595,1.687351515630703,-0.45483183289434403,0.25779825104716064,1.1669951491214618,0.07249951212704157,0.8232803874637491,1.2610233526377181,0.2649420365891566,-0.009501556177184019
2019,-16.367837995371513,1.3818368840053121,15.807985615192324,0.09837329601526246,0.0442778715288863,13.963854597886174,33.82655022170445,18.711130953167054,758.5779049463288,8411.629236783012,0.47044533191440363,4.574944812047271,5.086522023096137,5.064486437727611,0.15354942509713587,2581.730219160398,0.41072844138272063,0.21880813299067836,0.0917731306668599,0.9103846305858795,0.3285586479768641,8.217974534711177,5.294505904116006,2.8585660200735563,2645.7882367304005,0.169385481612276,0.22095049896826244,45.533620829967646,1.9335477962429641,-0.6298248669226207,0.19942211273521038,1.7772679703424823,0.21880813299067836,-5.986963109721121,1.5496890562400336,0.3001429676526366,0.025710807327889114
2020,43.94741304629142,2.4590803802806107,20.05926968886144,0.14142410431294697,0.05888785689168017,723.6764165823083,62.57407988744691,33.56686452039217,806.1708435651432,6654.512683369023,0.4156653907925771,3.3833138836724714,4.811180323290352,4.778879065157681,0.4941699239346968,3391.839549300377,0.6079256693443279,0.47963727924483585,0.37442469592086924,1.245148598226073,0.3751777239605491,6.001029857205241,2.461006981359863,3.578102365514686,2408.573178077592,0.1320192151105833,0.09246496440318389,75.70780260337366,1.0056548970786943,-1.071104149294216,0.20186220368241725,0.7791200659920514,0.47963727924483585,1.684810437868401,2.084931285919133,0.19562693975105513,0.08329632783409194
2021,18.24383620308575,3.5533802113755066,15.713255582936867,0.24803460098696684,0.101502429142636,608.0253215764993,84.35413175267452,51.8103546668631,1901.3048658154848,9671.478231831534,0.3953750620268949,2.6221494489749717,4.102958704328352,4.077662399046783,0.3496925169909104,5774.843607771432,0.605567088491912,0.5258455925714786,0.39774349420391303,1.2907455343741252,0.3946590809610263,4.139873851901367,5.568259090746497,3.4210353732914554,6148.961532343041,0.2037276864726842,0.1049563847549682,175.87679602975015,0.8035153966907914,-0.7875245703050541,0.2566676650472993,0.772854608145598,0.5258455925714786,1.1709191564236867,2.051683164406464,0.3509586924264658,0.20425701251731762
2022,21.662535054288316,1.3113143891094563,15.147984247189457,0.07038582611279921,0.025277064786351118,1047.679972889608,42.980914060544755,28.794218108849883,625.706774790872,9996.820918747519,0.5031937434347965,4.820977270521973,6.93105262999061,6.911437749469047,1.283941986041288,2286.98771588676,0.4290287165021245,0.3503000567393087,0.17070358881124506,0.8093906883336072,0.32582672841193155,6.111682493930322,15.11979152368494,2.711358612166988,8981.494098817951,0.21245630943503332,0.17109816576085093,251.81315206268437,0.4373156573096255,-0.9207908564547228,0.17034762810916382,0.7833110492641195,0.3503000567393087,0.7450471098519971,1.4977804573342808,-0.19296062543594558,0.011236068986659194
2023,48.53644320313036,1.9197508545210848,19.00825508638379,0.09011661194026924,0.04394884876699257,1286.6418349303976,35.47974609776419,50.521214499802674,950.3649347646383,11259.985239370859,0.4856736936119076,5.734040530051455,8.488839965080322,8.476101228781975,0.13632078394935418,2457.5298879350485,0.5610395204608999,0.46137032538755585,0.29484489405486264,1.06119556489703,0.386839169609861,5.378305559810383,1.3777720349645581,2.6337003041428066,9911.51202276913,0.14388575033840464,0.08997741577252143,237.68045003267113,0.3716187913090417,-0.565165578755909,0.15571574040148117,0.7842559140387556,0.46137032538755585,0.7769677591975042,1.4751193187081002,0.03474314276322564,0.0615283155269056
