time,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2014,0,0,0.10854511481068302,0.008562122275063267,1011.4210826613128,9705.403047943484,0.028121554497635495,0.25796497041408994,0.0193864681359898,0.8286617871892248,0.045497174245587746,0.07608333629589943,0.12672601788676807,0.5709876683032072,0.1,0.02023248531357389,13.608065703966695,0.3389525496989395,0.07675850724963583,0.6571245834315805,0.6118491988043162,0.8512879689469497,0.7823632057033045,0.011454935546635101,0.3760245579717648,12.608065703966693,0.011152901145629585,0.013422630902932518,0.16135501383603654
2015,26.254288383461763,1.6749556324423591,0.11386732351532752,0.0077251915336103115,1153.1575166869877,10674.104625073858,0.027665138909141955,0.20902320809081842,0.016298869835102016,0.9059388277883772,0.037855226846599185,0.06853004418437421,0.1100231237162298,0.5100667985188189,0.1,-0.4401988775655212,15.351881777926,0.37980273613479654,0.17526796321815358,0.6801552211651274,0.6353554855374409,0.8876820614629484,0.7821021318264739,0.010312053083825481,0.3476783241762673,14.311808815273746,0.01132991513183126,0.03534048834137239,0.2436159901317997
2016,25.416269241435323,1.5866355198346567,0.12010238578382587,0.007588740638784298,1351.032095586288,11615.213342894633,0.026471488080757687,0.23158412744270068,0.017457565200361756,0.9681987441193951,0.038658826471392745,0.06465860461273011,0.1028508146076366,0.49113149771230546,0.08195715678159099,-0.1285935725958888,16.346045933764714,0.4135226035779589,0.21355088484203028,0.6741916730835728,0.6381407288369809,0.8562289314590765,0.7941957984606494,0.011118547107526041,0.3517501615770978,15.346045933764714,0.011187712311737347,0.0205247939019136,0.19362261682633441
2017,16.580546154060485,2.2918530776146446,0.15682094269139904,0.010130904474607547,1637.5606904037104,11427.721820188488,0.034177594327188955,0.24003796750662287,0.016171509940099308,0.9606888146159536,0.042173530183514496,0.06271235779681156,0.10137713761270391,0.4365186525640839,0.08347984390838664,0.1430411491182199,17.403519263459252,0.44532460900553755,0.25669386353836476,0.6628579138149112,0.6292966299703711,0.9338422029225538,0.7252267749538608,0.010379585949447101,0.36039186186310107,16.40351926345925,0.01531619403875305,0.028834709534818693,0.20187086269988277
2018,13.084584005725889,2.023241222467488,0.18732443953818076,0.01368046551071794,2210.9197200080935,13050.757312256954,0.03432719033143914,0.3189302237376864,0.015784147337811406,1.0479284978415475,0.04341262183280977,0.07628376095019818,0.12661123389275156,0.5198470494938388,0.0937213293277504,0.03803509547995605,15.482047468273809,0.37961984015236333,0.2511021477921128,0.6753754479145474,0.6411497508799633,0.919616498240454,0.7424600622994281,0.01035121564777114,0.35390369844311664,14.482047468273807,0.012387111206674057,0.03230174755955441,0.13494155051825443
2019,20.64578315834513,3.1625278057538426,0.19244168086617489,0.014465890721526327,2573.199951203901,15084.908955139175,0.03537990389526743,0.2573158210872429,0.013132359805456677,1.2127039760991987,0.043370049265184,0.07831738910386925,0.1223552409939134,0.4066019460279144,0.10849476036850836,0.09099580248042771,14.085893942114511,0.4846992284087457,0.31953392789324764,0.6912511643389438,0.6576459567271867,0.927202456639732,0.753006098212689,0.008984787784179422,0.33896850455400934,13.085893942114511,0.013147903987177438,0.09958347491540046,0.1761572895729525
2020,28.77441688476623,2.294277079523802,0.16986261765704452,0.014184106730569692,2467.019087536416,15643.511250051344,0.03549796119490627,0.2696356667593269,0.012677542223009784,1.7924575890789105,0.04084812544823718,0.08323127560501344,0.1272570472868071,0.3658550839487026,0.10841373719498562,-0.08541931187859428,13.399308680200345,0.5052080895162366,0.31676873835277763,0.7116957234129884,0.6756583437312461,0.9443157689656912,0.7616007394782549,0.008767291612994626,0.3210126865575312,12.399308680200344,0.011235191930918194,0.038354242503877485,0.14525213525340672
2021,93.2659094891767,2.297275946195461,0.18721944405772,0.01702308978937553,2617.54790383292,15363.108751163163,0.039949851826034624,0.27248386346746867,0.014421322184363348,1.9965310957340971,0.033457426420953486,0.0924350077199698,0.14453932855574403,0.3435223769413138,0.11905087109735779,0.013002268752819077,12.418365960476887,0.5224037066437379,0.3062108169658095,0.7022589097673909,0.6610756242466217,1.0161810579577006,0.7104837474449243,0.009308578842663921,0.33290373363206194,11.418365960476883,0.011188380446424648,0.06970172066704576,0.16583222018662513
2022,9965.441334865123,1.6662796170622185,0.20788486413874957,0.01849980788072527,3270.22984537522,17298.353647045045,0.03995815918322343,0.20339383143187306,0.016839053757607577,1.826984424520289,0.03523092174949226,0.09172212562769276,0.14096033163786956,0.37211339156531215,0.11491687827617039,0.05938410519646809,12.464689494365562,0.5029597008595613,0.33412061945828014,0.7045385384801808,0.6611928230715504,1.05602928992278,0.6785564615337039,0.011060405306361043,0.32810706553959346,11.464689494365565,0.012478564431748563,0.045102198183518634,0.1758991326248448
2023,10.396525083490781,1.6375998830921537,0.18329939467146567,0.015975121531221725,3581.0873624694527,20858.22794303818,0.035037310700086935,0.21860384536870267,0.01873544703431312,1.3725584189479494,0.04919083410534915,0.0950716265054594,0.1414424883523429,0.2446116669029123,0.11431238632076864,0.09196559176696237,11.782014592525535,0.6234526454767688,0.5294423533687787,0.7197006225094629,0.6854548470559684,1.0322240283062771,0.7052710841501735,0.012662619821386488,0.31595837672919264,10.782014592525535,0.010892552306870073,0.07016482947284801,0.17839234142980487
