time,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014,0.0,0.0,10.02460051482512,0.15903238591701896,0.04826592275498713,25.638344203437356,49.169229284839204,27.213546203253237,22.617908363606745,1999.0048769412163,14664.446811288615,0.3588880242081111,1.7105499316635153,1.6763934623582812,1.0477714516368888,-0.0686442674364258,5322.3024442685855,0.101901350707796,0.0403076327958474,0.034796961859035636,2.1404313430774784,0.4081487274542711,8.522169878127368,4.467944744818112,467.166578590498,1.110079075138266,0.7383842006401676,47.66766560090076,28.891095897686473,-0.1631654698929985,3.1124321503685914,1.617109835850807,0.0403076327958474,1.9488927188006762,3.1338928161713158,0.07082581100890142,-0.007044574508012722
2015,10.839371632836466,4.550430323304808,8.17789759721391,0.46956192005094133,0.17929158974248485,4.629315758104685,57.95084272215038,22.206029653103958,31.77382093140734,1476.042240915635,5513.540820197815,0.3571994242108177,0.7542414059940638,1.3921456862666708,0.45309523352156833,0.3224237573845917,10523.24025712838,0.15529971564876682,0.037098286650132734,0.024750793426642624,0.9144542203340467,0.3005546588278416,1.2845397190960777,2.9837797596642806,1239.7179245630768,0.20914001897059356,0.13190148932657508,39.4551439434018,358.1461229498495,-0.8373737019368801,4.515323089351288,1.2951805723782135,0.037098286650132734,0.9039242689650124,1.9591926582141783,-0.25374592552770076,0.12089045442722461
2016,15.507249266251492,5.901171802943015,11.389727180325204,0.43551220974924554,0.13400604830508647,5.07033939388359,68.86527157697388,33.26815842699103,22.607393124411168,2147.726255157871,6630.708506355497,0.3102535010520231,0.6564828373261316,1.2563573721489067,0.47364181557057256,0.6435430536424884,13618.834685589103,0.17700350283361663,0.03208909569528533,0.025874076527546173,1.1844501696486966,0.2858623805078909,1.2076762811123778,3.726212916761238,1170.5874476739668,0.297143335916276,0.10059070335483837,40.74480372231332,242.59962251343939,-0.8013273788167963,3.6918064450297035,1.2956088070884846,0.03208909569528533,1.0926979071352727,2.711954618744975,-0.5176100602582233,0.08167953092817995
2017,18.65213369210565,6.731899082752408,10.894643286881916,0.42383767540715983,0.11449595704990917,7.439392509264476,70.38411433798522,40.18384877548447,27.5632108736847,2964.121710045307,8951.680657304105,0.29687190745881287,0.530030051618371,1.3208788684876906,0.5194892196352265,0.10709626421098423,13253.403102484239,0.17551783395582235,0.033833331824308296,0.02843935561263081,1.1194545884820717,0.2866573009966754,2.448038154111352,3.6745229735461433,2791.8555565572547,0.5509370464740204,0.13454217088989667,36.780337883011434,78.01880623166461,-0.6655354637463858,3.341472828514589,1.2980530507143162,0.033833331824308296,1.0942804486117717,2.6602888235064395,0.0703791641270682,0.1076495723274082
2018,13.986169473545926,4.072191684143599,8.022291099224411,0.35534417365119497,0.1177676554142863,7.325101255461513,72.74098038303435,39.22091507525944,48.94668349182472,3792.4526733182192,12759.79514853918,0.3728969615472025,0.9223258943503897,1.449089150153113,0.5229793152987736,0.038897928292838085,11698.812888570365,0.2045872845198507,0.0555761251620525,0.04509193597672452,0.7262468810243276,0.27084510423906133,1.3054470069967359,2.882163361268468,4522.827472325802,0.3822530068672955,0.11999020432114686,40.02697093400707,94.83782820943253,-0.4014778548640344,3.175316466788292,1.288409663118643,0.0555761251620525,1.0862462222441907,1.8718574628853848,-0.08262392136683315,0.08514170342469614
2019,17.03905556470176,3.995844654611885,9.707652161321526,0.32131097075589915,0.11118390529015217,8.356559950586508,85.51169754856896,42.14458739728779,88.86398465630124,4653.455362994458,16061.261044543768,0.35938790985467606,0.7832517680967274,1.356883098609141,0.5469469422439259,0.1553005730635368,11751.726238765017,0.22894022888528417,0.04674746326466483,0.05028554049250762,1.0327821233024082,0.26714629685677727,2.482458298546986,3.0889925819783444,5066.9933774604515,0.2544943186412222,0.1115044516668479,52.47080737750237,250.63077376526437,-0.577610091151461,2.654161863616255,1.3752148499590255,0.04674746326466483,4.734568312576312,2.0755508086251178,-0.07642050388860255,0.05726860402303884
2020,36.22385152527737,3.4108270376232417,-75.40448964437209,0.23265306668305558,0.07483133726510405,51.98129162521183,93.20507883103905,66.2621752065517,12.131335340945643,2198.989303878003,10842.111003188536,0.3917503665983588,1.086451856347096,1.632296121757933,0.9907347363045651,-0.8612792744046835,12731.414229462249,0.2398713425216081,0.07413892657773247,0.04226901938201236,0.9777806658222922,0.3486667481777804,-14.053830463353732,2.833856095121024,5954.499944395855,0.4518649542376849,0.1331488699231718,78.80756861394012,13.73161766012608,-0.49462474718263005,2.371638398364379,0.7363648789236015,0.07413892657773247,1.2315326094629508,1.8170399408186642,-0.04520713228142711,0.017803830633782904
2021,-0.6839353934176168,4.598572118725695,-0.9421108588235422,0.2539811225319152,0.07870511408150421,69.73671329867786,84.20533265879263,49.32931082247286,5.126499262087971,3003.2681798138105,13349.108006748607,0.348551853802049,1.1065764987514946,1.5303623665223647,0.8972539023223403,-0.3288075114386366,12368.913414609457,0.1931683427991186,0.04605118370787701,0.04166837871235021,1.217724664547574,0.3682497464500469,1.5472769484499487,3.2460795202404307,9051.82145223703,0.3403609201320783,0.07112286303955019,106.60290079927877,12.82617462543492,-0.4606807785412328,2.3554196127062155,0.7931964722949909,0.04605118370787701,0.9929340436892412,2.228457274466548,0.2446050386331121,0.09418027877924096
2022,10.488393779163276,2.6740806992839405,-768.0821058102313,0.17270059967848664,0.06366511223535866,72.41276754676502,87.80984193431937,38.86589245159205,378.807261098506,2502.876591055566,15182.379043330024,0.43291204841920344,1.012061159597878,1.7598689268211307,0.8853792061528158,-0.08351336118061152,7675.647144222052,0.24999992178890137,0.03644108063882649,0.028633948920823365,0.8599615575038897,0.30231441398933134,-106.72952979476405,2.5513280504343196,12997.277634134052,0.22883322993807662,0.10137141689116753,121.31870571697264,10.47650914450246,-0.41044800430535794,2.1939435558183553,0.7211175858600614,0.03644108063882649,0.9689795072218805,1.5212514324100186,-0.0038404270836710597,0.02930154038721094
2023,224.0816877551599,3.553197365216971,71.38776818893226,0.004224755466776006,0.01218180810756203,65.17587120282246,86.60982194268092,35.348550298048316,5.598203317043754,52.91810149814157,14654.096060337575,0.37059976452068805,0.8478202633464301,1.6573503574326764,0.9712058810297339,-0.2793177772487262,2324.5898259326805,0.19863283850675048,0.01901306755670992,0.010113792353068196,1.5505494957187294,0.3876833196598298,16.10780325667199,3.4269454048046915,13260.943042439256,0.3029961566928451,0.08300782144308588,116.6700291843652,14.627283879501254,-0.258546129902558,2.09211652421005,0.40862818062184375,0.01901306755670992,0.883196464348406,2.322511083189316,-0.24215101182723875,-0.002225135605037234
