,JVC_capital,DNM_capital,AMV_capital,TNH_capital,CVN_capital,MEF_capital,MRF_capital,DTH_capital,TTD_capital,YTC_capital
2014-03-31,0.7495504368617263,0.0447366016814887,0.1524931534932226,4.456635819319071e-19,0.04645909142565551,0.0067607165379070305,4.456635819319071e-19,4.456635819319071e-19,4.456635819319071e-19,4.456635819319071e-19
2014-06-30,0.7545018007202882,0.056301453914899297,0.15178711484593838,5.335467520341471e-19,0.02931572629051621,0.00809390422835801,5.335467520341471e-19,5.335467520341471e-19,5.335467520341471e-19,5.335467520341471e-19
2014-09-30,0.7955870165116893,0.05227548018688354,0.11939781969198823,4.553692589320681e-19,0.02583173195143942,0.006907951657999472,4.553692589320681e-19,4.553692589320681e-19,4.553692589320681e-19,4.553692589320681e-19
2014-12-31,0.8252629969862252,0.0538952193826879,0.08926018219698516,4.392617415761678e-19,0.02491800081439127,0.006663600619710465,4.392617415761678e-19,4.392617415761678e-19,4.392617415761678e-19,4.392617415761678e-19
2015-03-31,0.8658120252043765,0.04542272174688177,0.06612113971123909,3.7359742187891114e-19,0.0169766404475996,0.005667472889903082,3.7359742187891114e-19,3.7359742187891114e-19,3.7359742187891114e-19,3.7359742187891114e-19
2015-06-30,0.6988306425637518,0.09376869300072702,0.1638795242813452,7.668923375185206e-19,0.03188738339402008,0.011633756760155956,7.668923375185206e-19,7.668923375185206e-19,7.668923375185206e-19,7.668923375185206e-19
2015-09-30,0.609811873037168,0.1298187842383958,0.21763169395574797,1.1292812463651261e-18,0.03857060096960087,0.004167047799087315,1.1292812463651261e-18,1.1292812463651261e-18,1.1292812463651261e-18,1.1292812463651261e-18
2015-12-31,0.6364324346249132,0.1185178622701505,0.19450976290023195,1.0673919238992256e-18,0.046601264005516285,0.003938676199188142,1.0673919238992256e-18,1.0673919238992256e-18,1.0673919238992256e-18,1.0673919238992256e-18
2016-03-31,0.5718358416760592,0.1377444805410064,0.23613008022276732,1.1049967955092931e-18,0.05021215938473778,0.004077438175429291,1.1049967955092931e-18,1.1049967955092931e-18,1.1049967955092931e-18,1.1049967955092931e-18
2016-06-30,0.5694400506168934,0.144932616260677,0.230596646630813,1.2654223347042075e-18,0.050361278076558054,0.004669408415058526,1.2654223347042075e-18,1.2654223347042075e-18,1.2654223347042075e-18,1.2654223347042075e-18
2016-09-30,0.5313604939574648,0.1593580136154942,0.2542574806058367,1.319330835400285e-18,0.05015568103857723,0.004868330782627051,1.319330835400285e-18,1.319330835400285e-18,1.319330835400285e-18,1.319330835400285e-18
2016-12-31,0.3771546706648166,0.11573992158907835,0.45416127319966854,9.312461004069546e-19,0.04950783643593493,0.0034362981105016625,9.312461004069546e-19,9.312461004069546e-19,9.312461004069546e-19,9.312461004069546e-19
2017-03-31,0.21046811667495152,0.049662657955546544,0.42479703945559455,5.391434304833853e-19,0.02754160300281325,0.0019894392584836914,5.391434304833853e-19,5.391434304833853e-19,0.2855411436526105,5.391434304833853e-19
2017-06-30,0.17624766373930176,0.054275402771605474,0.45595975600012323,5.222152999683016e-19,0.04063566135173342,0.0019269744568830326,5.222152999683016e-19,5.222152999683016e-19,0.27095454168035304,5.222152999683016e-19
2017-09-30,0.22439521694910192,0.04907835355821195,0.3612929211559763,4.817932731059623e-19,0.047506743901340305,0.001777817177761001,4.817932731059623e-19,4.817932731059623e-19,0.23690353390547894,0.07904541335212971
2017-12-31,0.17548350711213448,0.03156027467082728,0.37217418894265086,3.795263738570089e-19,0.05387984119098412,0.001867269759376483,0.023175398493204387,3.795263738570089e-19,0.2893994868044372,0.05246003302638504
2018-03-31,0.1845674501549824,0.029088984510851217,0.3370697492681141,3.4980800787487785e-19,0.050388094494336774,0.0017210553987443986,0.021860202028116865,3.4980800787487785e-19,0.28687474879412433,0.08842971535072974
2018-06-30,0.15665893374533812,0.031128888334537193,0.36623975416400933,4.2715455690617077e-19,0.06152947814954936,0.0021016004199783597,0.022685324208172916,4.2715455690617077e-19,0.28227056567650816,0.07738545530190642
2018-09-30,0.10887725642392161,0.0181952532131869,0.5255161860918296,3.269587279997646e-19,0.026607247367164844,0.0016086369417588416,0.02174406324689634,3.269587279997646e-19,0.21458039751642152,0.08287095919882034
2018-12-31,0.08678099590370635,0.011993396315385908,0.5217707859225271,2.5627462799175e-19,0.08593221433579767,0.0012608711697194097,0.016363647546529223,2.5627462799175e-19,0.1681909881539616,0.10770710065237271
2019-03-31,0.09816110835555061,0.013494141849648422,0.4792128284216767,2.7525021620904487e-19,0.0980174277426895,0.0013542310637485004,0.018305240378766314,2.7525021620904487e-19,0.19399855438586447,0.09745646780205547
2019-06-30,0.09827602467019156,0.012816312021579767,0.4759298173917354,3.0227150994291905e-19,0.07675731587735515,0.0019829011052255488,0.01747129327470072,3.0227150994291905e-19,0.20974257349127218,0.10702376216793964
2019-09-30,0.12446555775061638,0.01238812124090642,0.4780318874915504,3.116508488278345e-19,0.05849811092837984,0.002044429568310594,0.018522033247535857,3.116508488278345e-19,0.1897542290241059,0.11629563074859471
