,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014-03-31,9.964284826918849e-16,9.964284826918849e-16,3.217988885400063,0.0021118052060446865,0.04177797552726618,195.6733410935927,6.152943596223868,8.776408625632925,367.38200808494133,757.1324474430334,0.01940849546507002,1.6425941207373775,2.236505919131807,2.2264497038649314,0.5773748745947738,68.88507457809509,0.7034530625640653,-0.005329794091442957,0.4391925527763868,0.09050593740187766,0.020112430533751283,1.619050657966907,0.07039350686812693,0.522923193877511,1568.3871497024247,0.7662994443570036,0.6126588975537528,39.8159967721852,333.4771974423233,-0.11228534776938436,0.12301383799191559,3.0744488048955816,-0.005329794091442957,-0.03016864580062469,1.2861241219970905,-0.01608994442699942,-0.0013073079846928793
2014-06-30,9.81696770700014e-16,9.81696770700014e-16,3.68476986773582,0.0024192933475042045,0.054149498055504446,169.35625774606808,5.208305321483276,6.549002651774112,427.5059002009902,711.17919442184,0.015911506247041924,3.592439418226577,4.159452893351638,4.150147918938163,0.20003908497064263,45.50132488188928,0.3597200760135994,-0.0032567410447151128,0.3374723594155498,0.09304974413474379,0.01860994882694947,2.1773640127529847,0.07443979530779493,0.548993490394984,1842.765063439678,0.7546809128696841,0.6030866261239739,66.49387116659823,122.65351523983927,-0.17228795656300094,0.12647532307861972,1.187754659415679,-0.0032567410447151128,-0.23262436033685638,1.249700731632332,-0.02661222682253558,0.0013957461620220319
2014-09-30,9.556092935371694e-16,9.556092935371694e-16,2.5496306050504347,0.004430505641563921,0.0667250172573425,164.95484954335845,4.6310952884639915,6.853365908672885,511.1263696555998,641.8381569041715,0.013124328032555565,2.846293238399278,3.405440420194106,3.3970809755873836,0.5087685434693288,53.08247325268936,0.5466561996142184,0.004681288979765603,0.3578554885452426,0.07523500146050548,0.016718889213446338,1.5214189184235378,0.041797223033614266,0.5350044548302558,1752.3136546297287,0.6237906350375432,0.46258092971321874,29.290487982122116,365.10021394696594,-0.27505367300177813,0.18704445966046082,1.0609342894436682,0.004681288979765603,0.20062667056134648,1.2407526944419947,0.024994739374101845,0.0003343777842697814
2014-12-31,9.641486191613893e-16,9.641486191613893e-16,2.663551367719256,0.007552494137906153,0.08264553500298046,158.83344166884484,3.484090513974794,7.484133198572347,619.0863441741113,503.5746009159297,0.018336604781579852,2.682000454670811,3.186433879433632,3.1852361122738624,0.3091879575246841,11.876441163423516,0.5100480860261645,-0.002296089763352939,0.41780268878318877,0.03346889279429136,0.007312789130970365,2.4444713850929967,0.023061050802764712,0.31387324395985283,1750.5621403697469,0.5570617556805635,0.4910121673297937,15.962457502502815,103.85117777414904,-0.4104983731809074,0.20397963362757013,1.1156104069325417,-0.002296089763352939,-0.7335840437666254,0.8261003836173322,-0.03891552322966353,0.0045545575335468194
2015-03-31,14.61592080818264,1.5810495639807298,-4.053851669833492,0.008932747492691174,0.06674625717761284,207.5839090052214,1.9518204110370325,5.476420355547341,544.6556796703209,4679.91035315055,0.5695712931770248,3.2861736099250534,3.797564893957919,3.797564893957919,0.0690394208109144,1012.6540713957058,0.8187945502520197,0.26120894451767357,0.3711627413035468,0.2263498443271887,0.10893323445273177,0.9875193329075015,1.0491101903871236,1.9431804690541643,1909.9778343212286,0.538052312662315,0.4820023652896307,21.290140531917142,158.20130621686445,-0.47310240065955766,0.1403592719923626,1.2735428611539148,0.26120894451767357,1.5596178943325216,0.8539913085946548,0.02056990477674637,-0.02619059651654825
2015-06-30,28.050502944568343,1.7271705460955842,-0.31412495030971893,0.00405818553477019,0.059511284158482454,254.00801910498717,2.2492080396787433,5.614866610248209,544.2122180260044,5344.201356197876,0.5744162342397834,2.3929578467492734,3.1458455450167957,3.1436637248368124,0.10812327327114589,1573.313478751738,0.3880932686645423,0.3284808025144049,0.28617504950711603,0.26871072151284936,0.12531806493775643,0.545455044995867,0.7277677075852409,1.9216671471160403,2254.7033129134716,0.5029298629121977,0.4883801506242456,68.91591270413552,134.9519943937457,-0.45513113428844615,0.13318421086230758,1.1143186959417013,0.3284808025144049,1.7885996932630184,0.8685556641317866,-0.5491802208788553,0.06818593657432578
2015-09-30,18.886994253843714,1.4484865239541258,9.366143936948461,0.011711680868200075,0.0470595495570138,253.32949821588093,2.516186597447496,6.1503349787556125,495.7453340272882,4572.753336432117,0.4771955522610226,2.020036738190985,2.8231851553355267,2.8215322260038342,-0.06936621620439629,1197.8881249906592,0.44791523897765323,0.30415642896188405,0.2802370951043424,0.2913082478809045,0.14993184536175752,0.6994558028620983,1.3307311634182133,1.5408564093172783,2062.7820785774597,0.44082078001230096,0.4677056440947917,34.679168000775775,117.03950297471035,-0.32028041218364117,0.11034606577910332,1.0079226555797351,0.30415642896188405,1.3482396543669672,0.6736524533798744,0.04776921947597961,0.05413740082969247
2015-12-31,33.21358232513608,1.467136673194122,-0.7011991946030942,0.017085941033284594,0.04878751676400662,258.5193347544781,6.536762870176976,10.601485065954304,574.9001452006004,4713.775803106856,0.43132227647315285,1.6729237145109515,2.2432908947856975,2.240205548569766,0.3703647041441647,1289.1634987601697,0.4383239936786865,0.186281993725481,0.2080347633437776,0.40286299559863675,0.17245867803993847,-2.147367466908084,2.9149926135175424,1.6921257757279136,2134.3132551078083,0.39757844746360116,0.40145950341679887,39.96488221538892,58.56919558783338,-2.15390162675113,0.10509706440760734,0.9114853345196646,0.186281993725481,0.8083318816234,0.84241785633838,-0.38395973950421886,0.04530020949267068
2016-03-31,24.710760288067572,1.4112425952914218,17.26344320822025,0.12938870198046587,0.06189503024421668,104.16327622138773,5.619082298968372,7.09612884521575,629.2922480013326,5226.349603571952,0.5590880873258849,8.043739116331455,7.813773440951759,7.81109554928454,0.1450634637333131,1538.883592590214,0.42163184283145433,0.25188012128523,0.19661520944548108,0.3585466373227445,0.1803592091423113,1.001149397087568,0.14897432691733986,1.610913706915631,2743.2031202198614,0.21843359564409273,0.2354873828564405,16.810024468356,239.30913990393452,-2.022343153288307,0.1632722234848286,1.0463020723473275,0.25188012128523,0.831897971678293,0.6727297902897051,-0.0347685153893024,0.0285122844358069
2016-06-30,17.439270840120418,1.5724674961012262,13.076055723271937,0.10959016685264132,0.05152169909373055,118.93369410909139,4.312972287116418,5.1383509193075,534.9949189791243,5302.462880160352,0.518866933492112,5.458773482626638,5.869761038649531,5.867548193245877,-0.04465928455976194,1566.6734095617599,0.46244582341138535,0.2654460569348731,0.12559164582562427,0.5028078768007883,0.2426264098181492,2.2573061311799343,0.1879254314809501,1.8062082716434384,2489.3092696503745,0.19985189797252825,0.21927955711948183,31.4684605466739,1097.6257689753888,-1.833909974673848,0.11905195146328502,1.1033052069754898,0.2654460569348731,1.6350673244554528,0.8342061341986926,0.38248877681692023,0.008667888075372245
