index,ticker,time,price_to_book,median_vol,raise_from_lowest_price,raise_from_highest_price
0,AAA,2022-06-30,0.9,3438278.5,x1.5,N
1,AAA,2022-09-30,0.7,3438278.5,x1.5,N
2,AAA,2022-12-31,0.5,3438278.5,x1.5,N
3,AAA,2023-03-31,0.6,3438278.5,x1.5,N
4,AAA,2023-06-30,0.7,3438278.5,x1.5,N
5,AAA,2023-09-30,0.6,3438278.5,x1.5,N
6,AAA,2023-12-31,0.7,3438278.5,x1.5,N
7,AAA,2024-03-31,0.8,3438278.5,x1.5,N
8,AAA,2024-06-30,0.8,3438278.5,x1.5,N
9,AAA,2024-09-30,0.6,3438278.5,x1.5,N
10,AAM,2015-03-31,0.3,3710.0,x2,N
11,AAM,2015-06-30,0.3,3710.0,x2,N
12,AAM,2015-09-30,0.2,3710.0,x2,N
13,AAM,2015-12-31,0.3,3710.0,x2,N
14,AAM,2016-03-31,0.3,3710.0,x2,N
15,AAM,2016-06-30,0.3,3710.0,x2,N
16,AAM,2016-09-30,0.3,3710.0,x2,N
17,AAM,2016-12-31,0.2,3710.0,x2,N
18,AAM,2017-03-31,0.3,3710.0,x2,N
19,AAM,2017-06-30,0.3,3710.0,x2,N
20,AAM,2017-09-30,0.3,3710.0,x2,N
21,AAM,2017-12-31,0.3,3710.0,x2,N
22,AAM,2018-03-31,0.3,3710.0,x2,N
23,AAM,2018-06-30,0.3,3710.0,x2,N
24,AAM,2018-09-30,0.4,3710.0,x2,N
25,AAM,2018-12-31,0.5,3710.0,x2,N
26,AAM,2019-03-31,0.5,3710.0,x2,N
27,AAM,2019-06-30,0.5,3710.0,x2,N
28,AAM,2019-09-30,0.6,3710.0,x2,N
29,AAM,2019-12-31,0.6,3710.0,x2,N
30,AAM,2020-03-31,0.6,3710.0,x2,N
31,AAM,2020-06-30,0.5,3710.0,x2,N
32,AAM,2020-09-30,0.6,3710.0,x2,N
33,AAM,2020-12-31,0.6,3710.0,x2,N
34,AAM,2021-03-31,0.6,3710.0,x2,N
35,AAM,2021-06-30,0.6,3710.0,x2,N
36,AAM,2021-09-30,0.6,3710.0,x2,N
37,AAM,2021-12-31,0.6,3710.0,x2,N
38,AAM,2022-03-31,0.8,3710.0,x2,N
39,AAM,2022-06-30,0.6,3710.0,x2,N
40,AAM,2022-09-30,0.6,3710.0,x2,N
41,AAM,2022-12-31,0.5,3710.0,x2,N
