,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2016-09-30,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
2016-12-31,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
2017-03-31,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15,1e-15
2017-06-30,1.3,0.5,-3.5,0.497,0.313,14.0,4.0,7.0,9.8,17258.0,43165.0,0.755,4.0,4.9,4.7,4.016,3162.0,0.012,0.005,0.213,0.0,0.0,0.2,1.3,891.0,0.624,1.644,11.0,26.2,-0.454,6.7,1.3,0.005,51.5,0.3,-0.235,0.503
2017-09-30,0.9,0.6,5.7,0.639,0.378,14.0,4.0,7.0,-11.9,16403.0,23886.0,0.754,5.0,6.0,5.4,-0.05,1848.0,0.008,-0.01,0.017,0.0,0.0,0.4,1.3,501.0,0.162,0.288,11.0,26.3,-0.296,6.6,1.2,-0.01,-2.1,0.2,-0.416,-0.447
2017-12-31,0.8,0.5,19.3,0.588,0.334,26.0,7.0,13.0,-31.1,15524.0,24134.0,0.696,3.3,3.5,3.2,-0.054,485.0,0.007,-0.014,0.014,0.0,0.0,4.1,1.4,398.0,0.135,0.264,19.0,14.2,-0.072,4.5,1.3,-0.014,-1.3,0.3,-0.738,0.01
2018-03-31,0.8,0.5,26.3,0.584,0.347,32.0,12.0,19.0,-23.1,15492.0,24329.0,0.685,3.1,4.0,3.7,-0.002,167.0,0.021,-0.01,0.011,0.1,0.0,16.0,1.5,513.0,0.181,0.622,25.0,11.5,-0.003,2.6,1.3,-0.01,-1.5,0.3,-0.657,0.008
2018-06-30,7.2,0.2,-35.2,0.024,0.018,42.0,18.0,20.0,0.6,824.0,24298.0,0.754,5.0,6.0,5.5,-0.947,-246.0,0.052,0.001,0.027,0.0,0.0,0.0,1.3,513.0,0.106,0.481,40.0,8.6,0.0,1.2,1.4,0.001,25.5,0.2,-2.479,-0.001
2018-09-30,0.0158684743313854,0.00050110971572796,-0.2457107972786097,5.8462800168262e-05,4.3429508696423195e-05,0.0601331658873552,0.0618035316064484,0.0267258515054912,0.0267258515054912,1.41981086122922,41.09934851828819,0.0011926411234325447,0.00618035316064484,0.007683682307828719,0.00634738973255416,5.17813372918892e-05,-0.0968812117074056,0.00012193669749380359,1.83740229100252e-05,9.52108459883124e-05,0.00016703657190932,0.00016703657190932,-0.029231400084131,0.00233851200673048,0.8652494424902776,0.00016703657190932,0.00048774678997521437,0.09521084598831239,0.01687069376284132,-4.84406058537028e-05,0.00217147543482116,0.0018374022910025202,1.83740229100252e-05,0.00901997488310328,0.00050110971572796,-0.0012744890436681116,2.1714754348211597e-05
2018-12-31,0.021977640453852598,0.0009989836569933,0.09989836569933,0.000156507439595617,0.000103228311222641,0.223106350061837,0.13319782093244,0.093238474652708,0.040625335384394196,3.856076915994138,83.39182574027737,0.002047916496836265,0.0069928855989531006,0.009989836569933,0.0083248638082775,0.001205440279438582,1.268709244381491,0.00011321814779257401,3.6629400756421e-05,9.3238474652708e-05,0.0006659891046622,0.0003329945523311,0.0293035206051368,0.0053279128372976,1.758211236308208,0.000369623953087521,0.001062252621936209,0.263065696341569,0.0183147003782105,-0.00013319782093244,0.0036629400756421,0.0043289291803043,3.6629400756421e-05,0.010988820226926299,0.0016649727616555,-0.02501122082558892,5.993901941959799e-05
