,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014-03-31,9.66987171322385e-16,9.66987171322385e-16,9.544386379021864,0.09926208643110836,0.07354938599148945,45.543146448766855,11.693245716682915,40.45645918958571,479.0794942729213,979.0112241308564,9984.758460970605,0.5394599545692781,2.1850825823425053,2.14194593299646,2.075831213648511,-0.16961675711799454,4249.480418231475,0.17990929080485868,0.1099732215108127,0.11520623504409466,0.6292560570230897,0.2020099815339453,1.526239293401054,0.3469145645517876,2.267065577528973,597.8967412047757,0.2828278098131876,0.24892493692435844,16.958328179784676,9.220091712389163,-0.23665379285823837,0.7248736129456416,1.2659631426872626,0.1099732215108127,1.4008172055715769,0.9678484797076644,-0.16943508528693924,0.025122221812708564
2014-06-30,9.549876182788315e-16,9.549876182788315e-16,5.808516529480001,0.13019824175663136,0.0889294570169086,41.88318724338743,12.321978484073513,45.79472558392219,77.40429051949725,1422.0782469066924,10286.925128255767,0.5309752876744608,2.063346243959249,1.9732396587491459,1.8876747864448955,3.828368246047768,4286.532247575342,0.1993302220126376,0.12843321113569253,0.2644962575118867,0.5531604515561344,0.18585994241771284,0.005208063101971111,0.7478236427458081,2.1409730091097807,758.2375161470051,0.32043008574188525,0.2944938115818568,9.093394459485808,10.039453712053557,-0.18652030572613387,0.7276788443858724,1.1970268865631037,0.12843321113569253,3.1349501012246335,0.9121343891423501,0.10310121468979286,0.026655614331149498
2014-09-30,9.590753510857983e-16,9.590753510857983e-16,39.65865783640055,0.13552199600250772,0.09178995587086226,42.174298191232715,12.125337892225003,41.732196615231764,69.29954586231197,1542.2591105706701,10545.759382991973,0.5416286779091206,2.227825205295497,2.3909371192238718,2.3293379661799074,0.06191503204704338,4016.566123799064,0.19575071494127025,0.11454230601052641,0.1631818625704338,0.5718335627739392,0.19448459781443156,23.31905313875084,0.5749230430774359,2.1631377167162356,756.2109525194694,0.2821014356111713,0.22352772875258736,12.497630353773125,10.247842832809862,-0.15687543623930902,0.7159882350399753,1.2315726590843414,0.11454230601052641,2.100597022960841,0.9060777516024481,-0.09479953585636734,0.035714214510114174
2014-12-31,9.619568020968883e-16,9.619568020968883e-16,27.974156732468302,0.15313258156438372,0.10136250519232702,41.03566249479174,10.317426639775288,40.74494366862013,63.746225250030534,1818.3046040522706,10584.11909572352,0.5378532531932047,2.3092992509551356,2.465668316480574,2.3817920631744296,0.09961329531197723,4134.763389307639,0.22432572395751352,0.14005390301756476,0.19777038407096406,0.6928492472174945,0.19525523278337742,21.787408940093844,0.5745284547374617,2.3076997270957587,634.544227828144,0.2462025485362019,0.24082823858253732,11.205970379722249,11.48129056647374,-0.16054375108871383,0.8098083554610028,2.407756692377613,0.14005390301756476,0.6664419762761151,1.0643116779367714,-0.1356569945939918,0.018177855858400194
2015-03-31,1.9682720101681173,1.2781795200095845,4.288432178563474,0.14002689042321592,0.0955215891797185,40.037652301771374,9.310985101615636,33.60019687618748,114.11902594722392,1753.8232344787436,10056.71057773123,0.5023258537697088,2.2565727211125024,2.5150583374982918,2.4372995297808573,-0.015425687171366062,4179.058041599045,0.20952428484385618,0.14803462779309612,0.1521372694531644,0.5966761805551657,0.17644092123267807,-0.04374908979276329,1.18360770114878,2.0570230092901975,616.9429829339654,0.22464503532259256,0.19874024178286434,15.833729378775377,9.278124509798419,-0.1416672111531039,0.7117183823488121,1.1013444158669012,0.14803462779309612,1.2760967178254614,0.9320316855072546,-0.29430936446476086,0.0319066841033359
2015-06-30,10.970959524729544,1.4501184908046423,6.571956354838366,0.1350234840298688,0.0918832560172095,40.39844433632303,9.16384119400982,37.32478508686618,81.76913657515787,1655.0998386392923,10669.178053536876,0.5293047310861676,2.3782104760202047,2.1796333356227575,2.104220474686746,0.06702863278738434,4612.859043609686,0.2191622770017912,0.15883847724111463,0.14522108509789391,0.44018320723150445,0.1661043902241242,0.9669333146684105,6.890779645901241,1.7815965735884698,505.6654778264034,0.2108044754046819,0.18766886350890424,12.529315420250011,9.417991906798422,-0.1695115230122949,0.7531257411136703,1.1591057430815266,0.15883847724111463,0.8795341083121301,0.7592848118731282,0.08963706489363878,0.060564841165523124
2015-09-30,6.784756226473835,1.3525931497054475,4.228263031054329,0.15027355507575557,0.1062196988016302,30.954058588489453,7.1554560992193865,29.58404250255169,124.6512416069102,1927.4043533414613,9039.683874427805,0.4327608321194972,1.9814122755196613,2.219113391079695,2.1777750864884307,0.12967918223107666,4833.540730492984,0.2184757609086158,0.16793004753293556,0.15666083851645934,0.3035274017961935,0.14248160706384952,-0.0924197803420185,6.5536699571771,1.3664370808674549,483.9688076780915,0.19596969850934082,0.16198747284422801,8.86261179442803,7.807837611364343,-0.24684648022612177,0.653298358820133,0.9234023487039137,0.16793004753293556,2.2046452366767397,0.5256133726237082,0.12289377368483556,0.017104805020429364
2015-12-31,11.750976146959509,1.79542567877818,7.264611775616543,0.14666762313998447,0.10080247164080063,29.557549468867286,7.275534638432984,33.16009201096839,15.007809837473413,1951.7871917682196,10069.171300661807,0.463959949023806,2.0132773126488472,2.2209570624471726,2.1732923243266513,0.17820428058329044,5291.8109629738565,0.20479306669368735,0.13841488110907457,0.15410637636489108,0.3290760733025683,0.16415822474132832,0.6689587583168536,2.7944651188152916,1.4127382870275842,392.160120179067,0.2184397009298726,0.1700357476804628,3.7161224880166706,8.869759552607178,-0.2656457762909644,0.6195639622854466,0.980939601562943,0.13841488110907457,-3.5129957262070852,0.5546749936719103,-0.007280534350773579,0.04149437798957584
2016-03-31,8.586401468953728,1.3397923939391745,12.922350663673065,0.1310249389361765,0.09069050095363401,30.190442696101385,7.328397711412997,27.504735941913232,8.424147982884122,1827.8206315643856,9622.543799538886,0.42168166547094277,1.8259370080401005,1.912740400676068,1.8604135718228991,0.008808316168818603,4912.747974407748,0.20452815123464743,0.1502422000680915,0.16877799779322605,0.278847455638025,0.15534816210527294,1.4753559754024748,3.8675927819225606,1.3439644354732894,288.4363452169164,0.1558087938132688,0.15584633682412916,9.810489143931784,7.255875413812201,-0.24772484818681637,0.5384226182612485,0.9016224147834225,0.1502422000680915,0.6004646073288032,0.4695521703918111,-0.034758836254035606,0.036500673313466875
2016-06-30,8.08054003560647,1.2194187812114563,7.912061239961977,0.12986987928624463,0.08377713623374931,37.84775570203006,10.71253977430698,31.563797056081206,20.665449775378562,1755.9752535552543,9743.81912231377,0.41260159618767156,1.758244679019081,1.8870940430654164,1.8196962491789914,0.04203328888937445,4557.612446424585,0.2041383451380267,0.1507172268907457,0.14685293032016022,0.3272099065309305,0.16298874088337645,2.07571169986145,0.5447817272426395,1.450558035649517,316.6915771511104,0.14524505974021495,0.12897639329641145,16.674869021610267,6.40506849107339,-0.27443133943265957,0.5213263936736253,0.9169785855779685,0.1507172268907457,1.3032070627163947,0.525278604024865,0.0031246654181852703,0.029415965076096402
