,price_to_earning,price_to_book,roe,roa,earning_per_share,book_value_per_share,interest_margin,non_interest_on_toi,bad_debt_percentage,provision_on_bad_debt,cost_of_financing,equity_on_total_asset,equity_on_loan,cost_to_income,equity_on_liability,eps_change,asset_on_equity,pre_provision_on_toi,post_tax_on_toi,loan_on_earn_asset,loan_on_asset,loan_on_deposit,deposit_on_earn_asset,bad_debt_on_asset,liquidity_on_liability,payable_on_equity,cancel_debt,book_value_per_share_change,credit_growth
2014-03-31,9.999999999999999e-16,9.999999999999999e-16,0.11639714830879036,0.009509284289085953,990.3729929041358,9391.352646718577,0.030767333369352955,0.2255980776496197,0.024230094297715984,0.7480784486430035,0.05849312843960778,0.0878868279580431,0.1420017479199528,0.4713231840529841,0.09999999999999996,0.015041389842887932,11.85945460643999,0.4143081724116971,0.3003700074198386,0.6799164644086528,0.6282544740878455,0.9027358522746061,0.7701571638937774,0.014995806791189814,0.357667484899843,10.859454606439993,0.01055855464786257,0.02020324507864043,0.15491560877662747
2014-06-30,9.999999999999997e-16,9.999999999999997e-16,0.11202322743996959,0.009189037239184529,991.9859788135041,9463.388664576181,0.0302954913078229,0.20113491364602748,0.02746575222105645,0.712625189673247,0.0539413007562916,0.08341263961607333,0.13606450002515572,0.4363620605791059,0.09999999999999996,-0.23698394245383816,12.42181449676095,0.44295717621661673,0.24412924694323618,0.673611608089691,0.6223173710040172,0.8731837495201984,0.7833540860410337,0.01689407570155626,0.3638502446450552,11.421814496760952,0.009483881778597613,-0.0006963718257942146,0.15695344866486288
2014-09-30,9.999999999999999e-16,9.999999999999999e-16,0.10748683905665442,0.008645243206090438,974.6487291266301,9413.930113475584,0.029952478412055075,0.2126596795583071,0.0221409603302527,0.8823908077326065,0.051512628628644926,0.08050433048958273,0.13284978370118905,0.4638280928712265,0.09999999999999999,-0.020821305176254818,13.008499931565744,0.42190012547810296,0.2625914680538785,0.6643542437378721,0.6153084731510374,0.8606230614236903,0.7833090364074985,0.013215406234569599,0.3698403541423039,12.008499931565746,0.011013246967834556,-0.0022040303372892938,0.16090211584332748
2014-12-31,9.999999999999995e-16,9.999999999999995e-16,0.10854511481068299,0.008562122275063266,1011.4210826613123,9705.40304794348,0.02812155449763548,0.25796497041408983,0.019386468135989793,0.8286617871892245,0.04549717424558771,0.07608333629589939,0.12672601788676802,0.5709876683032069,0.09999999999999995,0.020232485313573897,13.608065703966687,0.3389525496989393,0.07675850724963583,0.6571245834315802,0.6118491988043159,0.8512879689469492,0.7823632057033043,0.011454935546635093,0.3760245579717646,12.60806570396669,0.01115290114562958,0.013422630902932518,0.16135501383603645
2015-03-31,12.871630290072812,1.5039522672318744,0.11001348473670294,0.008907422567150153,1052.0689454252806,9933.821823638149,0.030085418072634176,0.15845410031102425,0.02263174055923493,0.7586988327338029,0.04574938394656519,0.07862776147042448,0.12413002447999076,0.42068153569950595,0.09999999999999998,0.09780204228421356,13.2537367394175,0.4583415867350471,0.27409516941825396,0.6921339200280487,0.6444295319655446,0.8586335161302487,0.8170018861258334,0.01439650526232093,0.342594369322199,12.253736739417501,0.01207901269414412,0.024692677279496193,0.1858405655431768
2015-06-30,-24.837047306072485,1.939913972637672,0.113487405442382,0.008415292834242697,1101.7208130672655,10118.417248479338,0.028409006723351535,0.23528547624880541,0.021899712867769486,0.7818484342662883,0.04182721912775913,0.07439825519715729,0.11727951930068094,0.4146059064485489,0.09999999999999998,-0.03201528505366148,14.149561025651082,0.453450210780606,0.22663643617730084,0.688206626807284,0.6470098638475855,0.8525533576697142,0.817218739826378,0.014072918232469554,0.347143358922273,13.149561025651082,0.014720078302795161,0.007536104772303045,0.209645020265468
2015-09-30,-89.1189450093689,1.8127096242376919,0.11633071571551791,0.008548372214024665,1141.7129339713333,10285.433296526662,0.029027027912714484,0.20232058356478466,0.017826734618746266,0.8774137855460143,0.040229607244742116,0.0725086385023962,0.11436068630426677,0.5087888987145944,0.09999999999999996,0.35634346537109773,14.521423216598965,0.3897153923198503,0.23984810732493056,0.6882119905417797,0.6468145553784181,0.8694112614785557,0.8040087758596361,0.011462010706655824,0.3442206466442843,13.521423216598965,0.014980837313653681,0.04321757853301489,0.22883876383021545
2015-12-31,14.94729663638359,1.674955632442359,0.1138673235153275,0.00772519153361031,1153.1575166869875,10674.104625073855,0.02766513890914194,0.20902320809081842,0.016298869835102016,0.905938827788377,0.03785522684659917,0.06853004418437417,0.11002312371622974,0.5100667985188186,0.09999999999999998,-0.44019887756551856,15.351881777925996,0.3798027361347964,0.17526796321815358,0.6801552211651272,0.6353554855374407,0.8876820614629481,0.7821021318264737,0.01031205308382548,0.3476783241762672,14.311808815273746,0.011329915131831254,0.03534048834137239,0.24361599013179963
2016-03-31,11.524106929927122,1.4773305675680897,0.11458530027192713,0.008104889262640583,1199.097810890897,10961.162170668646,0.02870796053175629,0.1855497537775161,0.016946518458957525,0.9972454165741937,0.03959647301870467,0.07056051221847996,0.11006381755393407,0.4627337114411161,0.09999999999999996,-0.2317100211941506,14.707148697385467,0.4307967970736136,0.2608341021429403,0.6993059980790705,0.6559811639376077,0.8842262206200753,0.8049914408244931,0.010990807338776392,0.3298296198569101,13.699813812609946,0.010421164359763624,0.03182593498496282,0.25914865570466467
2016-06-30,-33.072190870251646,1.642021392917759,0.11387161173395627,0.007703408909164749,1220.5134663384752,11277.88098956651,0.027960557967621938,0.23688928797690725,0.022546455237215775,0.9171237064097006,0.038932690849958394,0.069561067392992,0.10700101530879524,0.508267811973694,0.09999999999999995,-0.016213038655009237,15.142045358439727,0.393644394172151,0.19499225787031044,0.6979936579215456,0.6579403099230382,0.8588444698221953,0.8212393584006696,0.014825378316248927,0.33062382011683256,14.142045358439727,0.010593280103101017,0.021545740825752273,0.2489893676980419
