,VHG_capital,VBC_capital,TTP_capital,TPP_capital,SVI_capital,STP_capital,QHD_capital,SDG_capital,MCP_capital,INN_capital,HPB_capital,HBD_capital,DPC_capital,BTG_capital,BPC_capital,BXH_capital,BBS_capital,APH_capital,HDO_capital,SBG_capital,BAL_capital,BBH_capital,ILS_capital,NHP_capital,PBP_capital,PMP_capital,PBT_capital,TKA_capital,SVG_capital,TB8_capital,TDP_capital
2014-03-31,0.5257491460065863,0.015237419939571418,0.07968589047482127,0.06490442997160956,0.08166822840528032,0.008411986336105381,0.010406421149569894,0.02296329588572602,0.055641939707274046,0.05717173014273391,0.007700751650681722,0.0031057971675303524,0.006039136208111054,0.005765560546295237,0.00744919851946559,0.006336905635937792,0.011538565328286142,3.1017648731951995e-19,0.030223596924414023,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19,3.1017648731951995e-19
2014-06-30,0.5172410153124453,0.01311575431685129,0.057857102141377806,0.07267764062094256,0.08462766739784139,0.008979585517533063,0.00988915560228318,0.033228336925871266,0.06067624160714877,0.06738911513785001,0.006574590728648326,0.003168892914220328,0.006587609720190205,0.005231523412017303,0.007808580008036589,0.005869102132933052,0.014250517768812266,3.518646362669696e-19,0.024827568734997373,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19,3.518646362669696e-19
2014-09-30,0.5558496068599252,0.014127844174356433,0.062199571007625624,0.05961487033572698,0.08257207670971617,0.00852302730518552,0.009579141558219378,0.01977404095870469,0.049147604627880294,0.07348331802688211,0.006569833547747172,0.0032094138689417787,0.007248896484127713,0.004005822833437194,0.007733103252770136,0.006086553195116181,0.01211752142954637,3.088053371444029e-19,0.01815775382409089,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19,3.088053371444029e-19
2014-12-31,0.549923585476922,0.01610157616798954,0.06094365023120093,0.06319460863616154,0.07993465540762854,0.008848487974227536,0.015088722558580066,0.022656230339066726,0.046023011661176234,0.07616907695792215,0.006759399731997693,0.0031109518990849825,0.005844103188034409,0.0031429531020816625,0.007520593395510946,0.0064033475122482275,0.01319816605144613,3.1069129122989947e-19,0.0151368797087207,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19,3.1069129122989947e-19
2015-03-31,0.4785590168214895,0.016623629005378057,0.061054055619752134,0.055160223517845365,0.06910056372013311,0.00671661777995073,0.012760174486535564,0.021425450999894496,0.04424488004820294,0.06699826235500854,0.006357838446871695,0.002674613171791214,0.0071974156693655365,0.0031232272676770894,0.008486446564967748,0.004063553756870192,0.01432318741574493,2.798590741646138e-19,0.013634734093299981,2.798590741646138e-19,2.798590741646138e-19,2.798590741646138e-19,2.798590741646138e-19,0.09879137261640532,0.008704736642816145,2.798590741646138e-19,2.798590741646138e-19,2.798590741646138e-19,2.798590741646138e-19,2.798590741646138e-19,2.798590741646138e-19
2015-06-30,0.4499095039169264,0.01696801557629551,0.07755154391802335,0.05463186833276963,0.07327440423411977,0.007632750441054142,0.016889459948627474,0.025677692258471437,0.03976971489163322,0.08170356591131384,0.006489551815863323,0.0032999076757132275,0.0071642732433247714,0.0027183103741418866,0.00803267000009141,0.00763560700933298,0.012168980867848293,2.8565682788376284e-19,0.018236331892099417,2.8565682788376284e-19,2.8565682788376284e-19,2.8565682788376284e-19,2.8565682788376284e-19,0.08175841202226751,0.008487435670082361,2.8565682788376284e-19,2.8565682788376284e-19,2.8565682788376284e-19,2.8565682788376284e-19,2.8565682788376284e-19,2.8565682788376284e-19
2015-09-30,0.3503370388287298,0.019509393849774893,0.1396005515472781,0.062009655872685164,0.0817266244179661,0.007964328682706457,0.021404133334773603,0.02571240306976991,0.04531843155275505,0.08397578820724652,0.006870109331431392,0.0031007747411666156,0.008446042111095961,0.0011350920058050846,0.008009872497754192,0.009678060697643662,0.012699717657541455,2.9194753235727487e-19,0.009318965232844211,2.9194753235727487e-19,2.9194753235727487e-19,2.9194753235727487e-19,2.9194753235727487e-19,0.0851704375096525,0.00882849337848399,0.009184085472895152,2.9194753235727487e-19,2.9194753235727487e-19,2.9194753235727487e-19,2.9194753235727487e-19,2.9194753235727487e-19
2015-12-31,0.2975558672243544,0.019119074752251424,0.13897635452316004,0.09486258692406283,0.08462548078958594,0.007247927989703677,0.03536917800857848,0.02401261044726051,0.034558819393063,0.08063319888545342,0.007208253874073763,0.0036059033899755347,0.01156826153650744,0.0011511415042470545,0.008123127137479987,0.009814902486057065,0.013927391039038438,2.96075489775477e-19,0.009948136456456027,2.96075489775477e-19,2.96075489775477e-19,2.96075489775477e-19,2.96075489775477e-19,0.1011654419504032,0.008853841446245864,0.007672500242041712,2.96075489775477e-19,2.96075489775477e-19,2.96075489775477e-19,2.96075489775477e-19,2.96075489775477e-19
2016-03-31,0.2742952978275486,0.030001048199888126,3.2654202122327215e-19,0.15473193675664748,0.10537119174449525,0.008908066338970864,0.03782336231829161,0.02648353754727104,0.04496875482669925,0.10644616807836225,0.00790166382956074,0.0042003100189949485,0.01590520876974314,0.001269595378516082,0.009393307782508645,0.011079570780105623,0.014302540529579319,3.2654202122327215e-19,0.018103489656618205,3.2654202122327215e-19,3.2654202122327215e-19,3.2654202122327215e-19,3.2654202122327215e-19,0.11022360617987306,0.009827608670735597,0.008763734765590177,3.2654202122327215e-19,3.2654202122327215e-19,3.2654202122327215e-19,3.2654202122327215e-19,3.2654202122327215e-19
2016-06-30,0.1908305477990581,0.03497080736410646,2.9586131441714435e-19,0.13473524258556752,0.10296920497922758,0.007858076510919354,0.06032168408993947,0.021933382683000578,0.049008539149256715,0.1120485969960609,0.008538557534078785,0.004508334709088444,0.017183625141347744,0.0013988322945642584,0.015717336467096377,0.009603658265980506,0.014574128348188532,2.9586131441714435e-19,0.01192912819729926,2.9586131441714435e-19,2.9586131441714435e-19,2.9586131441714435e-19,2.9586131441714435e-19,0.12093508743589426,0.009869933448955934,0.009133238776057246,2.9586131441714435e-19,2.9586131441714435e-19,0.06193205722431199,2.9586131441714435e-19,2.9586131441714435e-19
2016-09-30,0.10776336243243465,0.037739627551858876,2.993426734234296e-19,0.15019518639020576,0.12391349834897553,0.006825012954054194,0.058413729291848036,0.018502969329649028,0.057224141507663334,0.1427864552229759,0.0080963212880835,0.0040551951968672,0.017636072947414778,0.001415292159945975,0.014969528412558863,0.018059343487635503,0.01309324853554081,2.993426734234296e-19,0.01106370520972996,2.993426734234296e-19,2.993426734234296e-19,2.993426734234296e-19,2.993426734234296e-19,0.13846873650151637,0.00886533261610829,0.009429294212838031,2.993426734234296e-19,2.993426734234296e-19,0.051483946402095644,2.993426734234296e-19,2.993426734234296e-19
