,UNI_capital,TST_capital,VLA_capital,SRB_capital,SRA_capital,SGT_capital,HIG_capital,HPT_capital,ITD_capital,CMT_capital,CMG_capital,FPT_capital,ICT_capital,SBD_capital
2014-03-31,0.008683682470004762,0.0019102565857976876,0.0006500605208904243,0.00266486424164234,0.0029022387035029184,0.026703667224294042,0.0076493440467060815,0.0018764739130585004,0.004169728754569779,0.004198968681542901,0.03593759777300527,0.9026531170849853,6.398233473330948e-20,6.398233473330948e-20
2014-06-30,0.0073787428838451635,0.001664947112252242,0.00097602419098481,0.001978325956342288,0.0020433441832186606,0.03133488125764771,0.007126478169867553,0.002147253220166582,0.004267478078121277,0.004697003800938515,0.034022101091780665,0.9023634200548345,7.507878392190846e-20,7.507878392190846e-20
2014-09-30,0.007011752592350444,0.0013952639633514866,0.0005905462598835299,0.001840535843303668,0.0017291194489389755,0.03078452036521743,0.006109660372252804,0.0021632365662044685,0.006301784755468245,0.004224767943206772,0.04110306954791126,0.896745742341911,6.561625109817e-20,6.561625109817e-20
2014-12-31,0.007965651220067774,0.0015155106183186928,0.0008046959035320492,0.001840602175179644,0.0016295092046524,0.04197271480159182,0.005651591680813459,0.0022011785861199597,0.005425061401720191,0.004497495698334594,0.0448204441935358,0.8816755445161336,6.985207495937929e-20,6.985207495937929e-20
2015-03-31,0.010112273677414596,0.0016150632666014188,0.0007141436212863417,0.0014008201802155162,0.0013052348032125754,0.03496007696820214,0.006285150543878735,0.0018853391601959422,0.007335079002481444,0.004631770725289069,0.055958096799009156,0.8737969512522131,6.866765589291747e-20,6.866765589291747e-20
2015-06-30,0.008483006223160202,0.0015608615185324752,0.0006418812886578303,0.0010809038681643653,0.0010987069906988373,0.029037256182754986,0.007663820367220285,0.0021034328719639994,0.00959885023316943,0.004827189510061095,0.0680248834364774,0.865879207509139,6.055483855262551e-20,6.055483855262551e-20
2015-09-30,0.010391452664287404,0.001498110474389141,0.0006554858789077405,0.001010123754232825,0.0011888812582326652,0.021661056257951207,0.006163068374432549,0.0016912536417619563,0.009546764038843794,0.005369480127144246,0.06395040323639899,0.8768739202934175,6.25463624911966e-20,6.25463624911966e-20
2015-12-31,0.0083524172649149,0.0014237933832088583,0.0006436389007105683,0.0011681702468412448,0.0010884598064685484,0.0321201007283427,0.00594014570518773,0.0015722197204545696,0.009610204493928035,0.005547148038321481,0.06149248179372313,0.8710412199178983,5.726324739417867e-20,5.726324739417867e-20
2016-03-31,0.007537559379741614,0.0014579745178140984,0.0006309445709330639,0.001096530062866942,0.0010639273508373152,0.027510590603992215,0.007222438922102741,0.0013477351318146413,0.012096427094589381,0.004640139943036729,0.0658715514129523,0.8695241810093189,5.863797127630705e-20,5.863797127630705e-20
2016-06-30,0.006980696030451334,0.0015116911364872214,0.0006366684792459671,0.0006259062896501723,0.0007340946166394781,0.020790284574950156,0.007732010150444084,0.0018261736450969734,0.019664502900126883,0.004515361609570419,0.059208809135399686,0.8757738014319377,5.66431031357622e-20,5.66431031357622e-20
2016-09-30,0.005363704404277011,0.0012389738601629838,0.0005899875524585637,0.0005082663036382897,0.0010117489244188074,0.022862017657769348,0.004313187716698342,0.0022491282236292006,0.013636735096585547,0.0032229066653644417,0.0646108125184994,0.8803925310764981,4.9830029768459785e-20,4.9830029768459785e-20
2016-12-31,0.0038613639725788395,0.0012386699486504951,0.0006741060945036709,0.0004924134362194783,0.00266187644067137,0.02844938376960023,0.004451417463424085,0.0013145068842821581,0.014735011264154848,0.004067492976788789,0.060264242216010046,0.8777895155331161,5.266453863309929e-20,5.266453863309929e-20
2017-03-31,0.0030665280307690707,0.001155845180828342,0.0006329628371202825,0.0004594877738411989,0.004967775409845894,0.024801528310393183,0.004342577178957367,0.001850138578564006,0.01683199544581273,0.004096861791876512,0.05361470431642325,0.8805455628567972,4.914307741617101e-20,0.0036340322887710138
2017-06-30,0.0033886646743780235,0.0009063174158691517,0.0005213330268273882,0.0006036267818634423,0.004818320244100823,0.043400974483380074,0.004418297402362115,0.0016682656858476423,0.011247718280321187,0.002945782242453026,0.052573762252840425,0.8701739986573168,4.177347971373303e-20,0.0033329388524399035
2017-09-30,0.0029765307230600517,0.0009158556070954006,0.0005231189144694216,0.0005068211367389912,0.003692042916103334,0.03288653041936488,0.004581663076120481,0.0015709467705039162,0.010556984901579709,0.002510056523873224,0.053660870434893086,0.8800821837304931,3.975067739129343e-20,0.005536394845704566
2017-12-31,0.003093449811600034,0.0007598512966172703,0.0006036327533282986,0.00042852547911669306,0.00288937085401599,0.023975916531975228,0.004071361759865077,0.0012618478892515391,0.006373434243521451,0.002154189181059241,0.07877555314236895,0.8711933745591649,3.360984149934848e-20,0.004419492498115329
2018-03-31,0.0034122323839302876,0.0006740775679291494,0.0004171774263519378,0.0005927977106976624,0.0032045312822997483,0.02181622377016745,0.003961854133025265,0.0013912676966363106,0.0051026568717887286,0.0019438692844909442,0.08093952160463938,0.8734637465049899,3.1700412336773394e-20,0.0030800437630532393
2018-06-30,0.005539981263499267,0.0009091251304203924,0.0005934566823577561,0.0004024772712798612,0.004193339664064061,0.02295067451639397,0.005305992026372837,0.0019902895650349217,0.0065737954309044,0.002457044824051537,0.06791669793757231,0.8770974491385132,3.9458556007829535e-20,0.0040696765495355225
2018-09-30,0.0037026716165419163,0.0009015200457667274,0.00046369391853386317,0.0007017326363568849,0.010164390845677608,0.018938525503561107,0.005138678020333805,0.0018888991435112386,0.006059495713600346,0.0015066612486486057,0.07368192681747292,0.8729167011369892,3.439865864494534e-20,0.003935103353005812
2018-12-31,0.00542022028257223,0.0011709804865786158,0.0004982581110820626,0.0005026936432281937,0.015888076147441674,0.02149902431229754,0.0052209909636751735,0.0018259607334906447,0.006013103079438422,0.001621667515393422,0.0791742488084405,0.8553333448410751,3.696276788442601e-20,0.005831431075286468
2019-03-31,0.004557800131699225,0.0012213925934321,0.0004905682312294037,0.0004909079599213909,0.01816923401337845,0.018352143941144313,0.00396178011447702,0.0017418569495563706,0.006475568597966528,0.0019988956779138267,0.09101087053676762,0.8471184195359217,3.397286919871218e-20,0.0044105617165920066
2019-06-30,0.0032478220372147786,0.0011137458847795606,0.0007627735145000892,0.0003077646300593714,0.01037565086938982,0.021702837559716148,0.004323308554257547,0.001399544568693518,0.005485150205734621,0.001980163664402585,0.10157053497639415,0.8446942132102838,3.01730029469972e-20,0.0030364903245740102
2019-09-30,0.0021043388330463193,0.0007631118845113025,0.0003854100426824761,0.0002047490851750654,0.005952272699188161,0.01771826318722013,0.0032554622780282053,0.0011749225151175284,0.004396685502538684,0.0014911514551385,0.0873246658308247,0.8717266974524179,2.4088127667654756e-20,0.0035022692341109955
