,PTP_capital,PIA_capital,FOX_capital,PAI_capital,TTN_capital
2014-03-31,1.0,4.0338846308995564e-17,4.0338846308995564e-17,4.0338846308995564e-17,4.0338846308995564e-17
2014-06-30,1.0,3.3921302578018995e-17,3.3921302578018995e-17,3.3921302578018995e-17,3.3921302578018995e-17
2014-09-30,1.0,3.3921302578018995e-17,3.3921302578018995e-17,3.3921302578018995e-17,3.3921302578018995e-17
2014-12-31,1.0,3.3921302578018995e-17,3.3921302578018995e-17,3.3921302578018995e-17,3.3921302578018995e-17
2015-03-31,1.0,5.653550429669832e-17,5.653550429669832e-17,5.653550429669832e-17,5.653550429669832e-17
2015-06-30,1.0,5.182421227197347e-17,5.182421227197347e-17,5.182421227197347e-17,5.182421227197347e-17
2015-09-30,1.0,4.0338846308995564e-17,4.0338846308995564e-17,4.0338846308995564e-17,4.0338846308995564e-17
2015-12-31,1.0,4.0338846308995564e-17,4.0338846308995564e-17,4.0338846308995564e-17,4.0338846308995564e-17
2016-03-31,1.0,3.5284570057513846e-17,3.5284570057513846e-17,3.5284570057513846e-17,3.5284570057513846e-17
2016-06-30,1.0,2.909429460882721e-17,2.909429460882721e-17,2.909429460882721e-17,2.909429460882721e-17
2016-09-30,1.0,2.3284513470091043e-17,2.3284513470091043e-17,2.3284513470091043e-17,2.3284513470091043e-17
2016-12-31,1.0,2.909429460882721e-17,2.909429460882721e-17,2.909429460882721e-17,2.909429460882721e-17
2017-03-31,0.004069569983477731,0.0037660766287776967,0.9892025135591421,0.0029618398286024366,1.0294889915197903e-19
2017-06-30,0.0038400810831549564,0.004562339736724539,0.9731808661831365,0.003385918439497627,0.015030794557486234
2017-09-30,0.005612372325411284,0.00452091291520752,0.9746961527212624,0.003413554433260383,0.011757007604858235
2017-12-31,0.005375756289200671,0.004687210972948216,0.9771485316348694,0.003219478099883497,0.009569023003098287
2018-03-31,0.004315326846485615,0.006364880872599863,0.9720743473274409,0.0030628334371133868,0.014182611516360185
2018-06-30,0.002327261307900601,0.005558836711254086,0.9765530573765242,0.003132705180756108,0.01242813942356482
2018-09-30,0.004120846289873328,0.006723821504140232,0.9715187516936494,0.0030561376475048497,0.01458044286483214
2018-12-31,0.004651113613302249,0.005331425753755414,0.9741279535772938,0.0030726185684203373,0.012816888487228235
2019-03-31,0.006862292462643446,0.007585101093037019,0.9683941740408829,0.0032381196350705584,0.013920312768366062
2019-06-30,0.007853113527484402,0.008181542551950928,0.95366112846347,0.0034409697865629943,0.026863245670531624
2019-09-30,0.004718832563683322,0.008583180981394316,0.9618453976793362,0.0030470387803202595,0.02180554999526581
2019-12-31,0.006761541390589475,0.008648887479233258,0.9648108116817862,0.0030498172865806345,0.016728942161810565
2020-03-31,0.005356127061038264,0.007513766902492336,0.9674147619201522,0.003285624212069741,0.016429719904247526
2020-06-30,0.004088221421996526,0.005532661375058637,0.9747790460662855,0.0024586757454500615,0.013141395391209327
2020-09-30,0.004800686776780712,0.006634708333470801,0.9711664402479075,0.0024338007465855094,0.014964363895255378
2020-12-31,0.004382946382394869,0.005386929109162679,0.9710706281777123,0.002036850930760166,0.017122645399970056
2021-03-31,0.003753239446397962,0.004460641885738579,0.974576383484146,0.001495039166960227,0.01571469601675733
2021-06-30,0.002322773960196279,0.0033744061742711066,0.9812952267144659,0.001211915033003517,0.011795678118063188
2021-09-30,0.0033050028544568126,0.0033911977442981052,0.9762939288880974,0.0011491320578007431,0.015860738455346832
2021-12-31,0.0036924643357182105,0.0034928988797588577,0.9593609177822275,0.0012593766545186647,0.03219434234777662
2022-03-31,0.004028438038411405,0.003870406172919457,0.962245778901717,0.0018077840040569891,0.02804759288289513
2022-06-30,0.003430848516586775,0.004553155452369893,0.9717714686255066,0.0020267895356930942,0.018217737869843924
2022-09-30,0.004048883578626039,0.004805974243032665,0.9718307218876999,0.0021693037646847574,0.017145116525956763
2022-12-31,0.005210029409766988,0.005107320575347213,0.9713522970151593,0.0027914204479450935,0.015538932551781313
2023-03-31,0.0028356388390624473,0.004769849050329934,0.9732765025243711,0.002471593869475968,0.01664641571676054
2023-06-30,0.003710501039107051,0.0046990655602484966,0.9743951134947421,0.001800693410561495,0.015394626495340877
2023-09-30,0.0030200754603514493,0.004112515616501483,0.978982488183389,0.00140701716446549,0.012477903575292533
2023-12-31,0.00299882716656242,0.003932566789810036,0.9806011038539059,0.0014972643810906958,0.010970237808630857
2024-03-31,0.002593919711661324,0.003525302152675361,0.9810811854402394,0.0012951008430844518,0.011504491852339403
2024-06-30,0.001408091578530206,0.0019390847931990392,0.9823918314022894,0.0010677382566812313,0.013193253969300102
2024-09-30,0.0018231137903728435,0.0024142652395646347,0.9827581054074507,0.0010209437226087925,0.01198357184000299
2024-12-31,0.0016667219476599554,0.0023686411543388554,0.9812357632766269,0.0011577632891772664,0.013571110332196936
