,VID_capital,TMW_capital,SVT_capital,TTF_capital,MDF_capital,SAV_capital,DHC_capital,HAP_capital,PTB_capital,CAP_capital,GTA_capital,DLG_capital,PRT_capital,FRC_capital,HHP_capital,FRM_capital,ACG_capital,MZG_capital,PIS_capital,TQN_capital,VIF_capital,GVT_capital
2014-03-31,0.014398555471493674,0.0019560715064975433,0.006631586210438199,0.5114188746905839,0.03305668360330422,0.015391559297113926,0.030172226534838927,0.05128329316089304,0.0520220831394887,0.0047664183629772166,0.006463773431574189,0.2724388745907967,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19,1.216916452965997e-19
2014-06-30,0.01176473901712928,0.0025087917014867804,0.007099883197546625,0.5008349450838023,0.03532345454689326,0.014501797770681205,0.03325295704408384,0.053842323259674967,0.054552338402820005,0.004760615323210454,0.00699232140215518,0.2745658332505161,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19,1.3411695185965895e-19
2014-09-30,0.009026961341807775,0.0022601268005411576,0.005468012297383562,0.4348633194469452,0.027056162830272065,0.01080598433534132,0.04289070917658666,0.045317450059517136,0.07091156302860606,0.004507723680252225,0.006670658932732953,0.3402213280700141,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19,1.128821696404534e-19
2014-12-31,0.008998895923879372,0.002567170404524206,0.006113124325253134,0.47166949450727613,0.027678117871817922,0.010882557641237963,0.04257523532202912,0.04315758610921889,0.062112336309831394,0.0046643491961469,0.00921183561286964,0.3103692967759153,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19,1.1547705476695634e-19
2015-03-31,0.010127429899124006,0.0028216414356428497,0.005852135136305254,0.4942813848440679,0.021183438442555522,0.0091049889599238,0.04275179311041518,0.03905098639112175,0.06905009163984817,0.005263908331288874,0.008870390948580664,0.2916418108611259,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19,1.154517772357958e-19
2015-06-30,0.009868328907847557,0.0031724449977348517,0.005624564984104588,0.5002282022935427,0.022934977364829932,0.008146658757303794,0.05189141283263001,0.043416597264744915,0.067659814447967,0.005180872676619968,0.010153848957643697,0.2717222765150309,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19,1.1249804956506566e-19
2015-09-30,0.014498766975671394,0.0025947767053361493,0.01638880294428242,0.6242630432561597,0.020979045702717806,0.006946963228289131,0.0469236398816536,0.03186952922792996,0.06010140325357423,0.00467418795038386,0.00823551285934276,0.16252432801465908,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20,9.065355501995422e-20
2015-12-31,0.007163606770661868,0.002540496889938681,0.005933992229643762,0.7155768440424363,0.01637734449160402,0.005318526539394758,0.03790961389388556,0.021279749755350037,0.05936030195505514,0.00399115234365447,0.0053709492920232015,0.11917742179635214,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20,6.270664190005138e-20
2016-03-31,0.006042866942429842,0.0018181622669921646,0.007160383431783307,0.6599866809672347,0.011216486763239008,0.005450970046108038,0.05122998839673782,0.020250421351192673,0.09175565127290633,0.006415372438880998,0.006495175722434442,0.13217784040006061,6.762990131647689e-20,6.762990131647689e-20,6.762990131647689e-20,6.762990131647689e-20,6.762990131647689e-20,6.762990131647689e-20,0.0,6.762990131647689e-20,6.762990131647689e-20,6.762990131647689e-20
2016-06-30,0.0038550780293188976,0.0012167156160211544,0.003010719139719052,0.7170566618084494,0.013254674983533436,0.003359502272248592,0.040980451320070645,0.01486254835177915,0.08927074147244525,0.006638208341301675,0.0043464115036438555,0.09032292400880872,4.820775846987418e-20,4.820775846987418e-20,4.820775846987418e-20,4.820775846987418e-20,4.820775846987418e-20,4.820775846987418e-20,0.011825363152660136,4.820775846987418e-20,4.820775846987418e-20,4.820775846987418e-20
2016-09-30,0.00961574539614882,0.003245935516066577,0.01419942892734395,0.37096037386123154,0.020286540020111363,0.007676837413138423,0.10175163029611729,0.03094818885170121,0.24325099149769622,0.012360538391691305,0.00848026009695478,0.16529296083537198,1.1725374836782783e-19,1.1725374836782783e-19,1.1725374836782783e-19,1.1725374836782783e-19,1.1725374836782783e-19,1.1725374836782783e-19,0.01193056889642648,1.1725374836782783e-19,1.1725374836782783e-19,1.1725374836782783e-19
2016-12-31,0.010533214179326778,0.005146885683078712,0.011803764699207056,0.3008589017972395,0.05275756415166603,0.009533455324340042,0.12914804885314268,0.027686851922776853,0.2971245584918507,0.013933358866334736,0.010286962565782942,0.11675319517142572,1.4185000780175042e-19,1.4185000780175042e-19,1.4185000780175042e-19,1.4185000780175042e-19,1.4185000780175042e-19,1.4185000780175042e-19,0.014433238293828105,1.4185000780175042e-19,1.4185000780175042e-19,1.4185000780175042e-19
2017-03-31,0.006857584375598411,0.0020712065578869995,0.006206093790895856,0.24020527263346525,0.03888740694036909,0.006698370144655829,0.06940160033715956,0.018268913170545704,0.19428793860217597,0.006780820371393953,0.005834733286895851,0.07533350113264535,8.362091961270136e-20,8.362091961270136e-20,8.362091961270136e-20,8.362091961270136e-20,8.362091961270136e-20,8.362091961270136e-20,0.008508428570592362,0.00269125567681518,0.3140383636054999,0.00392851080340471
2017-06-30,0.013772783000391057,0.0021844087843402274,0.007462132837494013,0.2454524506636722,0.024485518323756946,0.009706309133552096,0.06432549794572623,0.02378200660329082,0.18639415834134315,0.006836490112512954,0.008382291595660472,0.10079012161261716,8.153821516760834e-20,8.153821516760834e-20,8.153821516760834e-20,8.153821516760834e-20,8.153821516760834e-20,8.153821516760834e-20,0.024575618051517156,0.0026242259169543063,0.27539532172859715,0.0038306653485742394
2017-09-30,0.013808221481961395,0.001983637814969195,0.006130484029923865,0.23846137552182975,0.020183574491452916,0.009360923019881928,0.06980915986767042,0.023844266195753756,0.22971720380170438,0.008431137587221136,0.008038073104897252,0.09152222980320655,7.963218847728603e-20,7.963218847728603e-20,7.963218847728603e-20,7.963218847728603e-20,7.963218847728603e-20,7.963218847728603e-20,0.020782010387859724,0.0025628823539529735,0.25195624434213293,0.003408576195581751
2017-12-31,0.01326072641943594,0.0031424578573789374,0.004190330735796199,0.22503342846810825,0.03304541141024529,0.007580653361624327,0.10147868397814673,0.020940123285444024,0.2086358933102746,0.007530198216751124,0.0069315463751267285,0.08199131289316998,7.738519152331898e-20,7.738519152331898e-20,7.738519152331898e-20,0.007397173072522537,7.738519152331898e-20,7.738519152331898e-20,0.018897463769994495,0.0034851194854441936,0.2521596465787349,0.004299830781801696
2018-03-31,0.019730780608114513,0.0020404519941490977,0.004264608257711027,0.18689750495059454,0.033178011635231784,0.007359475654630949,0.09346896779554249,0.018805664748815034,0.2010487786649316,0.007290939831042317,0.006708817114078155,0.0704906254298209,7.850609803967134e-20,7.850609803967134e-20,7.850609803967134e-20,0.007504319405514143,7.850609803967134e-20,7.850609803967134e-20,0.015198780580480369,0.005347207349678094,0.31708612998223246,0.003578935997432537
2018-06-30,0.008774798532089453,0.0023957999094272333,0.003443023450950815,0.10180801423895314,0.027131833708194678,0.005795424444606227,0.07819284089944638,0.01544982141602958,0.1270876258777206,0.006571276363396841,0.005876315914831811,0.05091957551751602,0.26694185174442453,6.419957954411365e-20,6.419957954411365e-20,0.004213867802536987,6.419957954411365e-20,6.419957954411365e-20,0.012782136287233027,0.003036896910754752,0.27592979288060043,0.0036491041012874197
2018-09-30,0.008528932472257956,0.0023668056964949377,0.0029275899160726726,0.12903248473023862,0.024746470139426054,0.0059974692394309135,0.07046985367613175,0.014156449252746393,0.13123123668232634,0.007955558860677591,0.0052850853180168265,0.04609234055535029,0.27403885847591064,0.0026121524522671738,0.048224163786233294,0.0076867899802492935,5.855531164015186e-20,5.855531164015186e-20,0.008470025828747965,0.003212578617825291,0.20330404201460722,0.003661112304988854
2018-12-31,0.009598792997303322,0.003547967696968059,0.003981836302809557,0.08153765074144671,0.014298026736252268,0.005692254096918278,0.06785118427958557,0.01428278873525357,0.13747271824005297,0.007842916229503932,0.005835835595868323,0.029005503022352306,0.2983842873384581,0.0029761919942220562,0.06393763207330155,0.003170333052971117,6.37573263543714e-20,6.37573263543714e-20,0.012922016118872223,0.004223285297713561,0.22582844994718343,0.007610329502963186
2019-03-31,0.008177330046126582,0.0037962735921906327,0.0032590991334548393,0.08668280416984606,0.013497493847922992,0.006179582748159251,0.07475993869048843,0.014350833845228991,0.13404389627170227,0.008260208391188677,0.00507851052988333,0.03152476774502407,0.27499721030407137,0.001755070836609044,0.062338479013240904,0.0029928291272422734,6.018761442417846e-20,6.018761442417846e-20,0.013009552857786174,0.0034169712460894596,0.24035923820295668,0.011519909400787757
2019-06-30,0.007722214544289705,0.0022518959434208985,0.003315557431589918,0.07892765828176915,0.013347520248017455,0.006907996584569924,0.09079452793154472,0.015709526076341976,0.15019393029080078,0.007713108159213893,0.004946255067584256,0.028146110222494577,0.2556930084032292,0.0019087697345185198,0.06798565214632732,0.005577928693790837,5.95188567046623e-20,5.95188567046623e-20,0.010704466378333513,0.003379004532837088,0.23331391828227618,0.011460951047049773
2019-09-30,0.006317230153652097,0.0028724446380960725,0.0034048775785870144,0.06092720748681619,0.021658833371060504,0.005611099553074721,0.07798866832666236,0.013966633039323056,0.14144321493106393,0.006089231530148809,0.004931465205730867,0.02496584927361012,0.24157386435750178,0.002384662791017181,0.047874477107891424,0.007565170969527343,5.451903957515275e-20,5.451903957515275e-20,0.008635815868704193,0.005756556350661227,0.30645152145193355,0.009581176014937343
2019-12-31,0.004724673068948468,0.002699644824567152,0.0034039289575349715,0.053229430970701326,0.021089940798628998,0.005337085142955845,0.08488763042898921,0.01341055368620368,0.1334827744500986,0.005926746969234031,0.004398791142016833,0.02929161006218862,0.2628575920061778,0.0026454848879686084,0.04734623740365154,0.006918227360134524,5.12392966873641e-20,5.12392966873641e-20,0.007017221681334514,0.003965921563601981,0.30110772698329513,0.006258777611768148
2020-03-31,0.0061504968943205795,0.0032956149811962858,0.00400387790055183,0.045289294721380206,0.02574572929594487,0.00542941105714574,0.08751422483804185,0.013526927282984469,0.08009419652879236,0.006919309006110653,0.004622005090260519,0.026022829422478924,0.32951771254658707,0.0019703507868674055,0.06159016315818081,0.008328391297404687,6.255081863071129e-20,6.255081863071129e-20,0.008566334611475912,0.004841433362017054,0.26643521195751474,0.010136485260744026
2020-06-30,0.0123020082965679,0.0028069282500430455,0.010080133255458179,0.06436312903988527,0.014657297122860711,0.006192914237870261,0.09057614382238877,0.014718124961218616,0.10868560994954841,0.007391892050785252,0.004882991104467069,0.026829558767084333,0.29057662113174243,0.004498349615597167,0.04844259196674388,0.00943238953751867,5.820845775876251e-20,5.820845775876251e-20,0.008099706897131801,0.004505334630528218,0.25405081388811895,0.016907461474441193
2020-09-30,0.01387781291841073,0.002789168282621765,0.006751243565893362,0.12026430239255992,0.013741978608211598,0.008946359420590955,0.1140969236813258,0.025868141292845356,0.12148697819374991,0.007887185819833267,0.005084656785388638,0.023326759286738486,0.17135164212825418,0.0028408298563368456,0.04763152560691076,0.007913740314081213,5.566979926194093e-20,5.566979926194093e-20,0.011068547838255406,0.0040022132085394575,0.2716129505990098,0.01945704020044245
2020-12-31,0.010988838962112052,0.0023443750992380168,0.006055646019681627,0.11765265541730915,0.015295708143531253,0.01089938497466653,0.13795482126364061,0.02776646908679244,0.11858360889861042,0.008077986764115764,0.0051455489300184926,0.022699338244681348,0.16714283089005647,0.0023394162368904933,0.05161670094277695,0.0090440898285274,4.86162975247401e-20,4.86162975247401e-20,0.023048986656479278,0.0034951228616486147,0.23447640296182148,0.02537206781740146
2021-03-31,0.01165501391990633,0.001981950896510682,0.0052983130506112815,0.11011399705841877,0.018823733616160843,0.019499023288224244,0.151209114416768,0.049567233569269516,0.13312553714678127,0.010733316390525985,0.005058123688116213,0.028150581940348394,0.15728905340089677,0.002380906204926844,0.05432337160259823,0.00812597924289748,3.8865592636742475e-20,3.8865592636742475e-20,0.012291243671369807,0.0031928861662936675,0.1896252264746665,0.027555394254709317
2021-06-30,0.012126043003609055,0.0022335957879147696,0.005747341552855592,0.1140198284698845,0.021998974375361715,0.01416880065343813,0.18219697676486082,0.040229677647047705,0.1376621188418807,0.010011963137848266,0.004708383570802794,0.03801168708549084,0.14972078749111872,0.0022480464509860515,0.03228553735554132,0.008758666068230446,3.7243976987840485e-20,3.7243976987840485e-20,0.00992458876783479,0.0032849187703275304,0.18067053236801417,0.02999153183695228
2021-09-30,0.006946223987925485,0.0015493578543093638,0.0042593390262477574,0.07360147344520974,0.02113884519310382,0.010129470792710763,0.12613333865872348,0.030312406728706255,0.12323068239044949,0.009233523844344046,0.00368376803251471,0.03170251957177765,0.12679664424982254,0.002072458598557613,0.024364021695040167,0.003512329048969106,0.23741436737736252,2.5834687092465882e-20,0.006820357392410993,0.0018173152288324197,0.12921218749296812,0.02606936939001384
