,NST_capital,CLC_capital,HJC_capital,VTJ_capital
2014-03-31,0.30007632755424707,0.6999236724457529,3.894262971789959e-18,3.894262971789959e-18
2014-06-30,0.3124995280489922,0.6875004719510077,3.775608061678333e-18,3.775608061678333e-18
2014-09-30,0.35526588178728125,0.6447341182127189,3.3389650543917413e-18,3.3389650543917413e-18
2014-12-31,0.22864554928290318,0.5271435520245271,2.4566523689498796e-18,0.24421089869256965
2015-03-31,0.27280314772862757,0.6359331618661535,2.8388605949116265e-18,0.09126369040521895
2015-06-30,0.24207446411018438,0.6543862775417761,2.874174393405495e-18,0.10353925834803955
2015-09-30,0.21337849280270954,0.6857054884150566,2.405511507967054e-18,0.10091601878223386
2015-12-31,0.1462929324698165,0.5385565832461473,0.19002612373794103,0.12512436054609524
2016-03-31,0.16302862408245208,0.5920767780064486,0.14221825881417272,0.10267633909692661
2016-06-30,0.10526659221242045,0.6332107766247129,0.1392127090888557,0.12230992207401087
2016-09-30,0.09584069579202421,0.6285882066637747,0.1279612955105755,0.14760980203362573
2016-12-31,0.10191928574964547,0.609969453334071,0.09391134186931618,0.19419991904696732
2017-03-31,0.12359538795044456,0.6207783095435078,0.10132057095581692,0.15430573155023095
2017-06-30,0.12323419748980342,0.7089067216152481,0.06451790371828182,0.10334117717666653
2017-09-30,0.10497910447761193,0.7170197014925374,0.05699104477611941,0.12101014925373135
2017-12-31,0.11244799039162696,0.7073145884270579,0.0518755629906061,0.12836185819070903
2018-03-31,0.17778263065227184,0.6604801616007205,0.05282050582117462,0.10891670192583291
2018-06-30,0.14363950271969503,0.6906725907957352,0.05987041999022272,0.10581748649434713
2018-09-30,0.1523476703004432,0.6917630405392329,0.08024628212961607,0.07564300703070785
2018-12-31,0.22226536675997352,0.6442132115674329,0.0760873037913399,0.05743411788125366
2019-03-31,0.1429748771737615,0.6750050744538543,0.07886801773491053,0.10315203063747369
2019-06-30,0.1501849524426214,0.7183471293494417,0.05590636894124605,0.07556154926669098
2019-09-30,0.2000492237698239,0.6345015615404651,0.052401809331966545,0.11304740535774452
2019-12-31,0.25381558062995463,0.617542372514845,0.07810641674919883,0.05053563010600157
2020-03-31,0.25673537555487186,0.5358057179273062,0.1009894299652793,0.10646947655254252
2020-06-30,0.2181968273186302,0.621449307265798,0.09761567354126824,0.06273819187430348
2020-09-30,0.12489156817727816,0.7140820442374471,0.09707555611500751,0.0639508314702671
2020-12-31,0.09002131661442006,0.773351724137931,0.08087774294670846,0.055749216300940437
2021-03-31,0.08920046035559408,0.7853613922693519,0.07056306040197971,0.05487508697307446
2021-06-30,0.08847524999340703,0.7936424596809961,0.0618540388529672,0.05602825147262958
2021-09-30,0.08696078786883359,0.7533473120183273,0.09768370487767941,0.06200819523515974
2021-12-31,0.09625048839308571,0.7218651900354338,0.10179747902556197,0.08008684254591858
2022-03-31,0.08383721360820598,0.7311157311157311,0.10463781456147869,0.08040924071458423
2022-06-30,0.07393492886989535,0.778945409846774,0.10086084548526232,0.04625881579806849
2022-09-30,0.06714546283629731,0.7821619927040584,0.09847689075630253,0.052215653703341816
2022-12-31,0.06609217845582428,0.752579556203518,0.13433651818489495,0.046991747155762674
2023-03-31,0.06052708667939433,0.7873470913259999,0.11988242067941454,0.03224340131519137
2023-06-30,0.07213223204817636,0.8062205099767485,0.08282987479204974,0.038817383183025425
2023-09-30,0.08173142364524572,0.7900338783103195,0.09267381539345726,0.03556088265097779
2023-12-31,0.06667015939486676,0.8122255122116014,0.08506298653553278,0.03604134185799891
2024-03-31,0.07201721446352474,0.8275313277920763,0.06966794650014768,0.030783511244251303
2024-06-30,0.070497124142059,0.8419035517691196,0.054068482332334765,0.03353084175648668
2024-09-30,0.08185534932522884,0.8379753247223126,0.04387278845110171,0.03629653750135678
2024-12-31,0.0779313726789572,0.8420696876118275,0.05129156671217082,0.02870737299704444
