,TMT_capital,VKC_capital,SVC_capital,SRC_capital,HUT_capital,HTL_capital,HHS_capital,CMC_capital,DRC_capital,HAX_capital,CSM_capital,GGG_capital,DAS_capital,CTF_capital,FTI_capital,GMA_capital,VVS_capital,VMA_capital
2014-03-31,0.009610562567582123,0.006942766945404957,0.020480176135626284,0.016340070900108,0.45857209691559575,0.0032568999766176237,0.23249572596345605,0.002075854696102286,0.12636926631365533,0.0072007660290633844,0.11040117310287993,0.006254640453908192,6.446753714603373e-20,6.446753714603373e-20,6.446753714603373e-20,6.446753714603373e-20,6.446753714603373e-20,6.446753714603373e-20
2014-06-30,0.013129847113495635,0.0058578830540643055,0.019919867024080332,0.017658000438626635,0.4385511264873542,0.0035184427619864077,0.18922974908184187,0.0018299438485708203,0.1687367353934346,0.007595593017835984,0.13180693620914458,0.0021658755695644974,7.366923706001692e-20,7.366923706001692e-20,7.366923706001692e-20,7.366923706001692e-20,7.366923706001692e-20,7.366923706001692e-20
2014-09-30,0.02281945619667584,0.006498296647703572,0.01975678226789385,0.022508620282942822,0.4180400230937711,0.003510904882784856,0.17086946826286575,0.0020609256040477228,0.187822006897584,0.0070719073642451806,0.135449244106659,0.0035923643928262683,0.0,6.788292503450998e-20,6.788292503450998e-20,6.788292503450998e-20,6.788292503450998e-20,6.788292503450998e-20
2014-12-31,0.028548658061770225,0.005977602225190654,0.019005463066850633,0.023547611506809354,0.47092631603661894,0.005087905621224035,0.1599355781729099,0.0016372715437959523,0.15860328123704295,0.008114797338003785,0.11495694387967664,0.0029373475751396493,0.0007212237349673246,6.244361341708438e-20,6.244361341708438e-20,6.244361341708438e-20,6.244361341708438e-20,6.244361341708438e-20
2015-03-31,0.041182924703750075,0.0058554592750590774,0.021160794890769538,0.020048167585989318,0.47194037097632535,0.007735627364368868,0.16356768418727768,0.0013190942273167555,0.15732160096516407,0.008253859339935573,0.09892862593338103,0.002023375840858049,0.0006624147098047185,5.735192292681545e-20,5.735192292681545e-20,5.735192292681545e-20,5.735192292681545e-20,5.735192292681545e-20
2015-06-30,0.06348570079356917,0.007313126914089468,0.020590174202615143,0.01792373760290581,0.38848911468735514,0.01670812912984186,0.22487333714632857,0.00138620550295682,0.15500188315236302,0.007491871528661557,0.09313894684432047,0.0029532204193427904,0.0006445520756502123,5.580537451516989e-20,5.580537451516989e-20,5.580537451516989e-20,5.580537451516989e-20,5.580537451516989e-20
2015-09-30,0.07678048687686824,0.007699034759593549,0.025142265354313853,0.01977946194803064,0.3857439176061847,0.02255081245229087,0.21899709167524736,0.0012306280126606057,0.14422104219330015,0.009577496272445587,0.08536491984866247,0.001747848481749846,0.0006866547606874396,5.945062863094715e-20,5.945062863094715e-20,5.945062863094715e-20,5.945062863094715e-20,0.0004783397579646008
2015-12-31,0.08804846899615312,0.009160544286344954,0.04904209259248149,0.02685654368031194,0.395269801734746,0.030687479289656844,0.16947280420957686,0.0010822018148759695,0.13436500102867988,0.015412906456474843,0.07720168959934653,0.002247921378508672,0.0006793169000987745,5.881531602586792e-20,5.881531602586792e-20,5.881531602586792e-20,5.881531602586792e-20,0.0004732280327441333
2016-03-31,0.08111266747347841,0.011970735474094666,0.03895397965813747,0.02804878072295414,0.404994511310608,0.029170171481452515,0.12961778295513043,0.001330474505698191,0.1498901008776054,0.01994979033457192,0.09974882312459817,0.003968284830038952,0.0007423662097011646,6.427413071005755e-20,6.427413071005755e-20,6.427413071005755e-20,6.427413071005755e-20,0.0005015310419305791
2016-06-30,0.06919593599019072,0.015075310593057108,0.06057619104211216,0.026338832808180605,0.3573464814959893,0.029584754605419154,0.12072746141258582,0.0014106162819371802,0.16483172759529965,0.032251270682915334,0.1202446811723691,0.0011907499213399165,0.0006682780170785247,5.785956857822725e-20,5.785956857822725e-20,5.785956857822725e-20,5.785956857822725e-20,0.0005577083815255324
2016-09-30,0.03825975650639356,0.018662597098508416,0.055916356700186104,0.02705113636638498,0.4734880093887311,0.018801972497842045,0.07378027309730678,0.0012609899222394924,0.16321531144919188,0.029037276119866295,0.09817381676440415,0.0011061880903533144,0.0006208198466268602,5.3750636071589624e-20,5.3750636071589624e-20,5.3750636071589624e-20,5.3750636071589624e-20,0.0006254961519650884
2016-12-31,0.031032824201027952,0.017960618383101448,0.06432251823202263,0.022606908023690035,0.48268577878233865,0.017219336936482577,0.05888265678547417,0.001472066419636854,0.15503624323529477,0.039043809656691714,0.1072847126862364,0.0009408424508113806,0.0007392333542089421,6.400288781029801e-20,6.400288781029801e-20,6.400288781029801e-20,6.400288781029801e-20,0.0007724508529824867
2017-03-31,0.026532560868572606,0.015103233784154525,0.060048878814269686,0.019615434037360803,0.5223017387261908,0.014024674399253197,0.06636032253348724,0.0013042516221204252,0.13412855633975734,0.046407994631473506,0.09199941433431508,0.00083358690631175,0.0006549611406735179,5.670659226610545e-20,5.670659226610545e-20,5.670659226610545e-20,5.670659226610545e-20,0.0006843918620596266
2017-06-30,0.022591364936599873,0.010714061961802109,0.05809860690759603,0.018258527433734992,0.49309665997775765,0.013431040220953407,0.05564439148066856,0.001337605564439148,0.1334069633207935,0.06166541409334002,0.0867605863153434,0.0009326230101465047,0.0003730492040586019,0.04324801295521216,5.2869785155697557e-20,5.2869785155697557e-20,5.2869785155697557e-20,0.00044109261755398465
2017-09-30,0.02128903781323059,0.008342844752713758,0.05577446757520966,0.016989374818049616,0.5288066757973987,0.015368125214947126,0.060873084034723066,0.0017498360393256628,0.10435109180604693,0.0536684396148355,0.07547487789331729,0.0011861536788314276,0.0006656984932217197,0.054618400010097864,5.763623317936967e-20,5.763623317936967e-20,5.763623317936967e-20,0.0008418924580510527
2017-12-31,0.01821143575742002,0.00815116839547659,0.0646137266279123,0.01712348706380615,0.4943282408541748,0.013908270455405354,0.07327001405970962,0.0020537806971282243,0.11747891058638878,0.05261684784362981,0.08382104088670712,0.0012416805742332213,0.0006968615467635427,0.04946196556828214,0.002141265480055249,6.033433305312058e-20,6.033433305312058e-20,0.0008813036029069323
