,WSB_capital,VTL_capital,VDL_capital,VCF_capital,THB_capital,SMB_capital,SCD_capital,HAD_capital,BHP_capital,HAT_capital,CTP_capital,EPC_capital,CPA_capital,CFV_capital,BBM_capital,BSP_capital,FGL_capital,HLB_capital,BHK_capital,BHN_capital,BHG_capital,HKT_capital,BSD_capital,HAV_capital,HBH_capital,IFS_capital,PCF_capital,HNR_capital,BQB_capital,NAF_capital,BSH_capital,BSQ_capital,SKV_capital,SKH_capital,BSL_capital,SAB_capital,SBL_capital,SBB_capital,FCC_capital,QHW_capital,SKN_capital,BTB_capital,TAN_capital,SB1_capital
2021-09-30,0.005904929210950295,0.0012827030584029108,0.0023581950964280717,0.04634145799388952,0.0011611002684602588,0.007160878652931854,0.0013564802079970859,0.0004665590071731276,0.0005119449048623186,0.0004284087846309983,0.0005964836590632088,0.0004869458978877127,0.0017352251900020622,0.0022601876259026278,0.00017211883144280856,0.001596903478616834,0.0012896379433591017,0.0035945931760030195,0.00031382443247533444,0.10795470240094243,0.0007584925979795223,0.0003058033607187763,0.0008472257042864458,0.0001323476839832081,0.001390319104470065,0.015610133601477765,0.00015039509543546376,0.002005267939139517,0.00029076385117522994,0.013174744044675902,0.002440912398917577,0.006967052796047859,0.004148982918910458,0.0048362049522197295,0.0031470173719870794,0.7521901578207698,0.0008532415081038645,8.355283079747988e-21,0.0005514486832633672,0.001034049833949611,0.00037139233289479806,0.00034741267045592137,0.0007136080172751162,0.0007597458904414846
2021-12-31,0.005598312056536514,0.001123281207581537,0.0028924704972072943,0.048498645693298356,0.0013283292196402904,0.008140272619579123,0.001541624322971767,0.00048627040242905245,0.0007540099962787994,0.0004959376359748798,0.0010558672249787763,0.0006915921768537051,0.0020189974485090847,0.002314233049983866,0.00020703278921152478,0.0015516765348446407,0.001571994835438747,0.004278854448566156,0.00040311508378706806,0.10785896724499167,0.0010278921332134174,0.0003757388471971144,0.0005861936659823833,0.00019479903348538921,0.0012319306465479161,0.016303815040259705,0.00021558786314588533,0.002053217744246527,0.0004316890307278322,0.010507376026477338,0.0027379658619527437,0.008303982514387047,0.004385929753928612,0.00600206877086866,0.0039152295860600955,0.7435127152395646,0.0009342140736321695,8.555073934360528e-21,0.0005646348796677948,0.0015748180098370862,0.00040722151927556106,0.0005072303335682358,0.0007306717545858641,0.000683593182725078
2022-03-31,0.005501967806113806,0.000995006234737168,0.00216039578024332,0.045229598375043874,0.0013845137882088612,0.007664261220387018,0.0013967797715765432,0.0004457421210638831,0.000840966801740526,0.0004370695297953576,0.0008012053125354796,0.0006527861062826868,0.002096279975148262,0.0021843786443657793,0.00015245672546532812,0.0017401707806026592,0.001483788310606676,0.00516773389066172,0.0003032984432456422,0.10321071602819223,0.000970215866772202,0.00034480414075050374,0.0006637681585407823,0.0001758743368980321,0.0016020876235339568,0.014481685086098482,0.0001792658530365617,0.001938009222016883,0.00034658064920401924,0.009388007372833084,0.002696255330130989,0.009324246869428728,0.004546569634851607,0.005859813133920797,0.0034884165996303894,0.7553392396317717,0.0008488480392433948,8.075038425070346e-21,0.00031977152163278563,0.001412162719776302,0.00037710429445078517,0.0004912045873970292,0.0006896728818084082,0.000667280800255688
2022-06-30,0.00529366821821143,0.000993587530529463,0.0025955866182148196,0.04829627443269322,0.001194322985415309,0.007847601010360049,0.001329323758794179,0.0004005628328207127,0.000691551046889966,0.0003987971276382537,0.0005697342055401237,0.0006797124140475739,0.002281963745330425,0.0022744805186047648,0.00014361068817333696,0.0014556557605391665,0.0015449920346516785,0.0049054653216679305,0.0003309435999123269,0.09598835818442863,0.0010102356079640773,0.00024618975115429194,0.0008064227811888026,9.988846460768402e-05,0.0011031453330410895,0.014390623358840095,0.00011098718289742671,0.0020179487799532126,0.00023408205847457266,0.004843211601806374,0.0031056231723479944,0.00950075509961722,0.004130741152564226,0.0061237178163655185,0.0036020385722164844,0.7647114940310924,0.0007244436120032034,8.408119916471721e-21,0.0003783653962412274,0.0015235513288646755,0.0003922387941034057,0.00044672341116214247,0.0007181207058260168,0.0005632599532044405
2022-09-30,0.004757735567139266,0.0011303596289958247,0.0024036675279051627,0.040968363701967755,0.0009270634977014362,0.007339430739582881,0.001235445139059343,0.00039476105855119713,0.0004272314637354155,0.0003949282070111875,0.0005100208227010863,0.0024729251289359604,0.0017150885459882644,0.005113144064349249,0.00010523085655046639,0.0013535391597047212,0.0013353708488362016,0.004313571237674391,0.0003717963136133881,0.08028640525253133,0.0008731690203410592,0.00029258247822664204,0.0004469404473655858,8.633581324720584e-05,0.0010464947060267375,0.012317867679828577,8.938808947311715e-05,0.0017441578433778958,0.00015174173237387693,0.004481061261909101,0.0030348346474775387,0.010608840082346051,0.0035435473517960916,0.005129786237104814,0.003548271112621907,0.7908928071475587,0.000669756611857112,7.2673243474079e-21,0.00032702959563335547,0.0014307908175176672,0.00028524248063576004,0.000335750384850245,0.000620687637863414,0.0004868380580328552
2022-12-31,0.00496126213629873,0.0012301853916372376,0.0028085770152696393,0.04293389209155742,0.001049108598016707,0.008549856138842037,0.0013939394426692572,0.0004104598381726265,0.00048338094208382225,0.00044297978462210625,0.00037567105824992713,0.0024694461171673532,0.0021042037320750315,0.0015367565391940228,0.00011081460332356401,0.0014647907335873403,0.0014628005287862706,0.005148436917429739,0.0003474101500747366,0.07933021615781523,0.0009564924273941247,0.00036420747859576536,0.00045591611582905967,6.304968809788986e-05,0.0009425609937866365,0.010192794084582733,5.492965250952526e-05,0.0019105966090269657,0.00015698735470838233,0.003824250172628375,0.003596698116493263,0.008819791596420731,0.004222259289565509,0.0053723588400076995,0.003166813879462196,0.7929510576079666,0.0008530813859305401,7.960819204279024e-21,0.00035823686419255606,0.0013437862816822993,0.00024240694477029628,0.0003677898472376909,0.000679917646599063,0.0004898292056392884
2023-03-31,0.004819767173166657,0.0010240848022744118,0.0017173148287817352,0.03889679513182797,0.0009222053370115549,0.00751886030191619,0.0009867598575509652,0.00038647482134907495,0.0004589792612173766,0.00044005228137336116,0.0002844924920653266,0.0008287901111820467,0.0010924159018665487,0.003517876040184859,0.00010771332473341137,0.0008210753096151924,0.0013500902741994775,0.00558037313335784,0.0003206418479785861,0.06875553123719481,0.0008827937221500257,0.0003092533313798966,0.0005409178012874315,7.75888614723618e-05,0.0008229121671311101,0.01262003404652143,5.7309954496630887e-05,0.0017633832152809503,0.00015767584916637163,0.003770612939515001,0.001979838504956687,0.007359920694778866,0.003996634583133637,0.004791112195918342,0.0028930505875703087,0.8141232741529681,0.0006991814448588967,7.347430063670627e-21,0.00033063435286517816,0.001300201224067154,0.00036957573220263253,0.0003507663112396357,0.0004669438754063956,0.0005060909827856327
2023-06-30,0.00626499414907507,0.0010558491064493346,0.0015986958324495954,0.04006524142549612,0.0010581590925174207,0.008137406469380708,0.001110732352081602,0.0004990918804040292,0.0005630970418234105,0.0006324640687147004,0.00044884546812011,0.0007687026630952597,0.001452424816824428,0.002890854827542932,0.00016051873991372828,0.001052771935227249,0.0015491238686527087,0.0065454804136196995,0.00037128389211137574,0.08025958915262242,0.0010129373214618936,0.0003085601828173558,0.000630525029314482,8.902720028828628e-05,0.001240985216139748,0.015501195232316902,0.000164396818714165,0.002023345461097415,0.00019070030970843137,0.0059436447368223615,0.002693578645085934,0.008922953483439603,0.005574738275627775,0.00667982212163048,0.0033878390564249846,0.7842738070662879,0.0008761085846551808,8.430606087905899e-21,0.0005058363652743538,0.001666562211457238,0.0003675744254326971,0.000383002434573565,0.0005357818780985956,0.000541750747208833
2023-09-30,0.006450556388276039,0.0012676867806361454,0.0016891294364772514,0.039868775767952405,0.0008403750408294672,0.008845027739465211,0.001149509592955869,0.000584787040907038,0.0006001315134435346,0.0009839643014028473,0.0005240632354198652,0.0011798273007900758,0.0013141798253031804,0.00314314195505657,0.00018049200990510455,0.0010330560067413855,0.0016241629196896649,0.007130521586022361,0.00037229791661131257,0.07966029883430979,0.001062003672384834,0.0002480218314366911,0.000661067454495728,8.750592057103499e-05,0.0008485422600827637,0.017506964808353814,0.00014053981182620773,0.0021213556502069093,0.0001845579415680011,0.0071505595579349395,0.0031708963581467777,0.00844034379326074,0.007591094414627908,0.007137566254577422,0.003627518161853815,0.7762360472030624,0.0008432388709572465,8.838981875862123e-21,0.0005303389125517273,0.0018257800962780798,0.00046581434485793376,0.00043558502684248537,0.0005614521287547621,0.0006812203331726937
2023-12-31,0.006431004929874454,0.0013873346024030294,0.0024884383382246505,0.04426210664428128,0.0011766323132554714,0.009705789782978095,0.0012333367857090105,0.0006469456017899499,0.0005802390098350531,0.0012090763256418873,0.0005267073567204361,0.0007819838882879718,0.0010501258153456485,0.0028624053981110057,0.0002296424728841718,0.0013856901533554175,0.0017774559558747503,0.00867044466260157,0.0005923885863279984,0.08628195864599508,0.0011622385474740204,0.0003068348458250181,0.0005342524758800678,9.89571397474759e-05,0.0010369702229647523,0.023540520274078585,0.00014509844537753064,0.0023215751260404903,0.00019636656274425813,0.007529641992124657,0.003168950047045269,0.007909316257529195,0.010343294312588812,0.008283670246603224,0.0039307168852773045,0.7382096219635091,0.0009007711489037103,0.012416799463182185,0.0005803937815101226,0.001982625157638579,0.0003937004484576998,0.0003873161168610884,0.0006144435500253832,0.0007262177191145408
2024-03-31,0.007175954267199364,0.0013070442994801645,0.0021103993430808283,0.0586833975346726,0.0013865305485713853,0.010309918523056114,0.0012460799033951907,0.0006049932772346306,0.0006864409015896136,0.0013633580119500322,0.00044039951798697374,0.0008078035235803306,0.001884942289565918,0.002734905271135359,0.000236173846193198,0.0012170131308007798,0.0018577459005993209,0.009454809458964741,0.0008205423526130115,0.08724999921646087,0.0009897867954757743,0.00024668843523604583,0.00045374495792597293,0.00010342715952724383,0.0010191063226144845,0.02901566562555384,0.00016985105376908074,0.0024264436252725823,0.00025214793339290917,0.008431891597822224,0.0034667813296082022,0.008184697653497578,0.010312890916497074,0.009031526478717711,0.004235660653366452,0.7111277816774993,0.0007946602872767707,0.012729982623630584,0.0006066109063181456,0.0026512940678811753,0.00037761528918304566,0.00045152071793613964,0.0006421987461554769,0.0006995740277114013
2024-06-30,0.006860753384823264,0.00046406378338210367,0.0016957342293124017,0.052819315548835885,0.0012437339535918425,0.010706118651167282,0.0010802411641820614,0.0005451063105411018,0.0005576195113569664,0.0012500980893192862,0.0008043641899447966,0.0012497559314844774,0.001453486482267773,0.0023589338725532255,0.00017401169884561716,0.0012586520351895061,0.0015807691968166455,0.007733940179255317,0.0007429712984419609,0.08413889914900752,0.0009570643436508944,0.00045321249204959604,0.0004806828782156739,0.00011936420465758343,0.0009384900611898452,0.025297595931598662,0.00014370629061969507,0.0023462251529746134,0.00020979163242848,0.009316312629926495,0.0038184814364661825,0.008842336045273074,0.008993863086402683,0.00867164816539417,0.004487155605063947,0.7276160173389167,0.0007977165520113684,0.012471653078780679,0.0005865562882436534,0.002646541972555364,0.0004741329996636198,0.0003914285630212646,0.0006209675904872811,0.0006004870000894401
2024-09-30,0.007131818591913297,0.0006564784929807151,0.0017825908539265021,0.054474618331533775,0.0012552349964057147,0.01034960123321333,0.0013935737478451265,0.0005820704829147762,0.0005355048442815941,0.0012029456646905376,0.004401908027042995,0.0010213396740211273,0.001488160201318778,0.0025873032965561802,0.00014939809061479257,0.0011156350922533209,0.0015686799514553218,0.009142387051648085,0.0007372892783587165,0.08320309506278116,0.0009497450046226099,0.0005207590587144198,0.00036961475665088283,0.00011845134327315695,0.0009002690135748539,0.023912716590851986,0.00013387621107039852,0.0023282819316591047,0.00020256052805434213,0.01130012233181316,0.0034924228974886574,0.009385886537000766,0.00792100915499858,0.008871045194862648,0.0041909074769863885,0.7191896026689871,0.0007217673988143226,0.015262373120761195,0.0005820704829147762,0.0027318507998133497,0.0003928975759674739,0.00043325446278289837,0.0006162186179124432,0.0006926638746685836
2024-12-31,0.007320397825757705,0.0008142172817416512,0.0017775733725151888,0.057415619932240605,0.0013440631316670969,0.011306031727669311,0.0011563296173249316,0.0006650784727097646,0.0006118721948929833,0.0013151422950507786,0.004572414499879631,1.0076946556208555e-20,0.0016647115710856533,0.0028154988678046697,0.00017130809145554543,0.0012596183195260693,0.001496124255200284,0.009527752968895188,0.000878709739701386,0.09086402863626367,0.0009865330678528175,0.0005286366163387006,0.0004443933431287972,0.00010973794799711115,0.0009351406404161538,0.02282025317118989,0.0001360387785088155,1.0076946556208555e-20,0.0001694942410754279,0.010477202873421158,0.004135578866667991,0.009069251900587699,0.007323924757052378,0.008612766221591451,0.004307894652779157,0.71085804091462,0.0007980941672517173,0.016400230520229424,1.0076946556208555e-20,0.0028054219212484614,0.0003980393889702379,0.00041899943780715173,0.0006529861368423143,0.000634847633041139
