,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_payable,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014-03-31,9.999999999999997e-16,9.999999999999997e-16,-6.514268942264617,0.022255122015299375,0.039672283311271206,-1764752.6811968116,1375.134195473729,10956.841805927466,0.1997027621771103,0.591480519655494,2.4941317731542756,2.4912827083522786,0.11648495754305477,-2233.7662871982443,0.032879143383554535,4.0932442764804346e-16,-0.014397340420156285,1.7552474898025865,2686.94902862686,0.3513459671459702,0.4725952172023886,0.0,-0.09484846444293993,0.0,1.3396861453270412,-2.086584211607705,1.7269323551899864,-0.02718316542546137,0.009988805108980857
2014-06-30,9.999999999999997e-16,9.999999999999997e-16,-7.530059425475072,0.01960853674797824,0.03459134660769745,-2429453.168346317,1330.5835399340133,11465.165463249661,0.1839774723640864,0.5171804641700728,1.254991545203953,1.254991545203953,-0.008934162922090805,-1897.8951115584664,0.03592668812717748,3.5632746788003495e-16,-0.011523096402374346,2.2944345847768832,1551.2935596048367,0.3284434033120615,0.41457838180041706,0.0,-0.099259951938054,0.0,1.2352992159990932,-2.456296286025809,2.0593385670861215,-0.04646900901294192,-0.01073248830606673
2014-09-30,9.667146514903417e-16,9.667146514903417e-16,-7.595083454612908,0.032991163468875415,0.03437202526576787,-1457934.8655027463,1305.3695770039205,11060.907678598542,0.1969719358291805,0.5290234402365421,1.1834482888335653,1.1834482888335653,0.035529799475047294,-1743.010104071913,0.03070725232321177,3.210718979119923e-16,6.999410661680824e-16,2.162819226058676,1120.5838572274765,0.1962844695450837,0.25004415580556855,0.0,-0.12974867855465458,0.0,1.2449998786977095,-2.38679721337291,1.9107282744190368,-0.11669836727116968,0.013509537494810901
2014-12-31,9.66900888224087e-16,9.66900888224087e-16,-9.550884428257586,0.06173222721691779,0.03480877444712735,788236.0263403216,1278.9508839204107,7970.44992324351,0.20461380397972245,0.5467201234041728,1.140883452931259,1.1301435083959448,-0.03126803699364579,-1664.005825003018,4.056946035806326e-16,4.056946035806326e-16,4.81365863135803e-16,1.6287444294738147,1054.0325963434248,0.24699240456483967,0.3112343951368588,0.0,-0.1426582998252095,0.0,1.234474803700927,-0.9153796591201931,1.8846201195106804,-0.04360501510453601,0.005957688937573377
2015-03-31,9.491646483255703,0.4684432395632222,-4.3132983827348905,0.0386574329147862,0.02790595980560513,1080323.0367323305,1183.9855343518261,11337.110844093277,0.19983392603054012,0.5233853031980433,1.8923285853895273,1.8923285853895273,-0.013784157440217125,-2213.656421695002,0.027509547045686988,3.494761092616672e-16,-0.2475859234111793,1.937279433067823,1844.037207046158,0.15757833945004168,0.16313410576827173,0.0,-0.21006654352944787,0.0,1.2461625888125212,-4.512737711857159,1.8393916353986588,-0.02194879540518448,0.01321548593036464
2015-06-30,9.631234861461863,0.9415093707786986,-5.124055722362847,0.05137308420738237,0.027335786185969404,1844602.025193523,1222.7879588474086,15726.863121616941,0.3067983028885161,0.5084242087044789,1.1720418028533848,1.1720418028533848,0.04334895947684813,-2637.9826516356216,0.024583372452576212,0.0,-0.19666697962060933,3.2952242984747686,1320.2079180757203,0.14308123663324385,0.09999130682138545,0.0,-0.15549456342985823,0.0,1.2977860883082961,-1.2798001259365632,2.2165601953514518,0.03839752530147419,-0.013944567576193275
2015-09-30,12.607288834877494,1.0065621124714128,-4.73144299732322,0.0508347807676048,0.024902503077271754,722266.8185884116,1193.306368648183,17259.638384879978,0.3182491135495541,0.5493048016291903,1.1810057304664718,1.1810057304664718,-0.012797925194643421,-2722.084985292956,0.025318485627502565,0.0,-0.1772293993925176,3.154228801677607,1258.1907786405407,0.32424294596231457,0.222789997437172,0.0,-0.1634829017848384,0.0,1.2982624214716554,-1.5530033713291345,2.028332291923627,-0.016592959799080775,0.2126026210132686
2015-12-31,9.089875231927804,0.7322521718240108,-5.774271766752454,0.04361696076440523,0.032791877296555534,1115653.2776790787,1662.8170643837093,19597.761707894413,0.3793694094087518,0.7043999683530798,1.3050450314561177,1.3050450314561177,0.40644530058123685,-2631.460815871669,0.0,0.0,5.76352840423834e-16,2.427114644395702,1815.2317212198639,0.1227278564254659,0.12560860581514854,0.0,-0.1328428577060475,0.0,1.102556977311377,-1.4215898481588354,1.4165778258475763,-0.026773709185915286,0.19334391297926962
2016-03-31,8.801264227304227,0.7128077523677523,-9.90600632940633,0.05931009563409589,0.032824234326634324,432355.51775966736,1699.7820278124277,19735.03915398475,0.368674211041811,0.647506648186648,1.301156156156156,1.301156156156156,0.03347246338646338,-2857.872069207669,0.0,0.0,-0.17580418572418544,2.444026463386463,1834.5470454146453,0.09525107442827441,0.10344342989142988,0.0,-0.17177015698775694,0.0,1.237615671055671,-1.1073985400785402,1.4541275675675673,0.028386446754446876,0.013514525571725569
2016-06-30,9.93740265872856,0.8514540853238103,-12.102273184784774,0.10108389552571065,0.03545373716054287,-197644.88291274288,1783.0738665587255,20517.892900083454,0.38801433363698384,0.6834994088217674,1.3862387427626237,1.3714527432884485,0.02445500693246179,-3079.8869298576706,0.0,0.0,-0.1341449261655768,2.550767399463484,1897.5386507016622,0.12539871770685773,0.10750121157820187,0.0,-0.2056395009959533,0.0,1.4468516866104324,-1.278673459652272,1.571097736639046,-0.05405931896201055,0.009278350621890183
2016-09-30,12.47036472879411,1.1184263402183106,-14.341652096889472,0.09984708576741781,0.035351476738439545,-245122.74907396184,1807.1053066318575,19512.099420022092,0.3756357665168533,0.6423186481065015,1.3528597963832902,1.3528597963832902,0.0543848612819683,-2804.8540761295512,0.0,0.0,-0.09796361722140356,2.6438069396273742,1666.8476825200728,0.10423846791322122,0.08187819267366961,0.0,-0.12742596137743337,0.0,1.2172746639500513,-1.0104780568336456,1.6385189889032665,-0.026564376266847028,-0.016048877361241436
2016-12-31,14.211311240847085,1.0913467222323863,-14.60082275349465,0.08556175446943341,0.03377393616759066,646214.5032049724,1661.382013760163,19971.51885554222,0.3897113555784943,0.70142842434734,1.371657567449068,1.3670145650861307,-0.05844009030344951,-2799.613036564051,0.0,0.0,-0.11006023751063546,2.56834451140631,1801.9277576629268,0.08945692184898128,0.06598226029325661,7.042193017778299e-35,-0.5744565611478548,7.042193017778299e-35,1.2013830867086914,-1.4216074059082024,1.5639353380203347,-0.05840668721015213,0.02572207464133054
2017-03-31,14.704449874628805,1.185432314867551,-16.09655949754277,0.08955094862128803,0.0341718824088565,356350.3851982752,1763.2172678749284,20484.213027283236,0.3693698807382303,0.6414891881614555,1.3079301848285545,1.3079301848285545,0.03170851267695653,-2797.440563885487,0.0,0.0,-0.17521293430571863,2.704388928882214,1939.6364480432865,0.1031717326426643,0.07388780266643205,0.0,-0.6300592548918518,0.0,1.212710825608868,-1.6387475946009187,1.6720962942796174,-0.005477473550121291,0.006704034166734867
2017-06-30,13.63441049028134,1.1492131374254273,-13.945920424186305,0.09065882452320315,0.034090018754424765,-3210899.142139273,1808.3829598879813,19296.116588896843,0.34361521232635606,0.5750340401787604,1.2481651618067444,1.2481651618067444,0.020713745953264584,-2798.8405288912654,0.06286744731239843,0.02627648835225659,-0.5198822199086457,2.6415725755131825,1594.4145629062614,0.12219694551437,0.10242140787039873,0.0,-2.0460416728355137,0.0,1.206791197763698,-1.2334806967878063,1.6586234724268616,0.01706387424834644,-0.007819554020298426
2017-09-30,12.794098224411462,1.0129247512904316,-16.15315371786427,0.09273889615974336,0.035339297807208396,9734502.52468471,1913.3169129529892,19863.63094328547,0.35728854846462205,0.5753642596392999,1.2608128320855558,1.2608128320855558,0.2736447736002131,-2581.827781286069,0.0543097194414794,0.0271548597207397,-0.5528081672501357,2.4576704642768576,1624.816437620837,0.09755978456828826,0.08067691501171646,0.0,-2.175629258192262,0.0,1.1993534930047902,-1.5925363554398713,1.497627161929397,-0.0301574387135859,0.05649522200944741
2017-12-31,13.910788944532001,1.0594616735184297,-16.547762079804055,0.07961905327651872,0.030370902788691975,8508036.101192804,1622.9704181018255,20173.758104072793,0.3532229626343267,0.561389739678255,1.2498396163510415,1.2498396163510415,-0.043942696040709425,-2531.1855935665944,0.03550049553789593,0.0,-0.18607976966398349,2.542524856948013,1417.4415828201154,0.09174481274958637,0.08058402017861536,0.0,-1.2642100333892627,0.0,1.275400251938504,-2.1274142041674957,1.602906254232495,-0.04505021277183156,0.005385232144709961
2018-03-31,13.083560297110543,1.0469562711457576,-13.763505034028032,0.08297348329781032,0.031132776456628347,-2814234.8472074964,1783.2959076221218,21200.042472127534,0.3508531197516018,0.5986276778804651,1.199266946153052,1.199266946153052,0.07670957364755421,-2492.335756279614,0.008491007307051759,0.0,-0.12089622677255132,2.533328464007809,1586.5779934541424,0.10614099115927186,0.10633708459507171,0.0,-1.6197495174879992,0.0,1.1778830935136764,-1.5585207365279434,1.57918356889636,0.021887734152884877,0.022259773625808877
2018-06-30,12.497078053635367,1.0083840346449586,-13.199767160636389,0.08700113643722955,0.03048680206811724,627578.3968208041,1701.1412536267353,20292.860854303028,0.34215358856108924,0.536666235333322,1.2869876510462785,1.2763644442536592,0.006241667905250905,-2914.4472745232847,0.044418697469243595,0.00772409462800166,-0.592805285376013,3.0162928747618865,1478.0357275518284,0.14912949671214806,0.16110662628509823,0.0,0.13384857147607068,0.0,1.3669344655358036,-1.3491141248478025,1.9798323271232077,-0.007501543743280308,-0.025208967420230415
