,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,short_on_long_debt,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014-03-31,9.63770514815941e-16,9.63770514815941e-16,10.146512015818457,0.20700816497768232,0.09249469823179697,26.84558042662648,35.924457848885694,20.54277698944427,13.784726137052465,1617.2355723994021,6809.607719123177,0.35935433576931114,1.3568839617656843,1.5331993969792892,1.1512260870822588,-0.014689490530422438,9253.305224528727,0.12507924327324915,0.038172296429645244,0.02165914370905881,0.5783459082081273,0.2838629001887094,1.6823091467738098,38.36483799608863,2.5948899036771533,3846.270260166248,0.38033354739689784,0.16200239677825898,43.0886877696615,13.41808172130907,-0.31088495029276386,2.6032091555649846,1.4940070050419352,0.038172296429645244,0.9809456000436105,1.163278695405313,-0.006016141655353518,0.03518620586930429
2014-06-30,9.593913873523179e-16,9.593913873523179e-16,11.17146166079371,0.20021589887848812,0.08761156459530808,27.908034120604402,35.72260281326203,22.752266365710796,12.348592978542031,1605.75647633344,6674.669166464824,0.34478325017857453,1.2474065460590902,1.519296621409672,1.1285611331250407,0.01751978753905415,8163.922181065699,0.13862768491116145,0.0536220794540752,0.03602835830779032,0.4833179822246472,0.19319200603152914,1.9222613624606932,41.29202868279828,2.6748401084678193,3731.9266857176576,0.29042615228289786,0.13619260718735193,40.85233039289773,12.424199010731908,-0.3658383479454164,2.511946558621289,1.4089651801117495,0.0536220794540752,0.9855647748965368,1.1551553823004161,-0.10899986868720685,-0.015698538936833362
2014-09-30,9.60942582696325e-16,9.60942582696325e-16,9.856136192303364,0.20808990154740836,0.08519458210551659,29.499151155367585,35.36117218708211,23.355558716800648,10.645500933161513,1666.0084850998946,6689.222848208544,0.31255056942766923,1.0087950776263097,1.4230827079065642,1.038865292920456,0.058643735514802425,8252.223724054267,0.1158296083096945,0.037193732178216206,0.022457959635113465,0.6607272170369708,0.2836272099307308,1.9692516604356358,42.02017531743666,3.0245446248577843,3755.1501020299897,0.48865960080253923,0.21372610805671102,40.44948096561131,12.263509687288037,-0.2865124037352182,2.426924775626869,1.6376693908128173,0.037193732178216206,1.0494069570417617,1.327365762765625,0.017959254210939336,0.0030677936607746053
2014-12-31,9.558261066122876e-16,9.558261066122876e-16,10.532560734458201,0.19541484462768036,0.07370218861219782,30.626738731655273,38.463570221976525,28.48684695906317,6.582159682262462,1627.8229215672259,6996.914807640999,0.2895937466187226,0.8248170382063547,1.3164971601289643,0.9326859582730226,0.5161171860762133,8464.771368780048,0.11194148819985401,-0.24206695321384844,-0.23956917056318994,0.828087177065999,0.2795210131456715,2.3048406789426057,41.6643881897744,3.268082896530844,3452.392348417679,0.49170026614339074,0.2453114043920329,40.61636849260682,12.016676582168703,-0.3783298414979581,2.3003785493498268,1.326487976676671,-0.24206695321384844,0.9856616880997272,1.5825022577936925,0.03987657278058821,0.04023094926105935
2015-03-31,7.48554850727846,1.754407251524198,8.096456062279355,0.19682419342799717,0.07870273304823897,1595.9800722341636,41.39441918733607,21.64480638708077,15.748078352816743,1709.144120431532,7279.486426979463,0.308340982429526,0.8977759095597501,1.3852333776720374,1.0025248822401192,0.12062154178526377,8884.187577924915,0.18616178607869022,0.0670366859011638,0.04643724713564889,0.741608568679707,0.2808474234213151,1.8127692724874729,34.44785472972857,3.011270079023425,3921.768742304502,0.42682033162769734,0.19472273456304742,48.50578748170773,12.665992274751376,-0.5225467601672937,2.22090286019327,1.3957213389616088,0.0670366859011638,0.9684257878085646,1.4127889320373546,0.12842919949238057,0.047299741665411774
2015-06-30,8.35914168239629,1.588638156197209,7.477793759545333,0.1989319135928475,0.07896564954117297,64.02545319695213,40.38359588801155,90.26244915134298,10.229869509772856,1745.3450265735821,8934.180391107953,0.3678885298054244,0.8725246529344819,1.3057177150212982,0.9253052130388842,0.026019282477240238,7844.1086533045955,0.18152937814964634,0.07130713250615836,0.04348375383319707,0.550267043810275,0.27481134291436027,1.574012025100949,39.2105034063005,2.569121041068472,3407.9576964503417,0.2894539876178677,0.15649430369716957,44.333367405522395,11.71160580713635,-0.5106878167358675,2.1310404465749784,1.4271745832933915,0.07130713250615836,0.8927205090821061,1.2164511388760426,-0.07766789952280978,0.21800970645618128
2015-09-30,7.602850894475535,1.6003046007853319,6.749979128278835,0.2013401244297335,0.0751656950714717,70.00274121942692,45.66671132476946,96.22033882615113,13.406641329135219,1771.4737088867116,9120.254474504218,0.3589936097006904,0.8308516187624054,1.3261809503794675,0.9342086008753976,0.00568063864839817,8225.265278074872,0.1925113880038578,0.07090398826880423,0.04021138462635429,0.7319730124955122,0.2780306402120571,1.8430595804139818,12.185495192061115,2.6842215729909786,3376.3629545400527,0.27747042839254593,0.15601312103846968,50.89983124991394,10.654150745490096,-0.636041335452404,1.9044794578981665,1.5319283543926934,0.07090398826880423,0.8750964840187787,1.3141859340736317,0.06669246847976053,-0.001784573189877008
2015-12-31,7.743998147419421,1.670480950579069,6.235163235758287,0.21744268859421476,0.07463893174724827,77.14318869705794,55.91970782229701,117.42045797083418,8.791700820376185,1973.5252581885295,9221.825130411316,0.33320441238516985,0.8341256428944755,1.3506096703423547,0.9633779944669942,0.006651330328311349,8948.931957805231,0.19550119307975938,0.07652495457879219,0.05964516170224851,0.8144754846875786,0.2758236917294921,1.953386456829696,10.431036634277048,2.83028369128971,3862.9570128237606,0.32269723203205275,0.18055166187106053,64.56125014373067,8.43421383402179,-0.4755423957614202,1.541230208103803,1.2689214776574838,0.07652495457879219,0.9474569449095489,1.4803996837236317,0.08362852987835913,0.02083526480358017
2016-03-31,8.206452053255477,1.6072134907676856,6.187224603836,0.20111834819649538,0.07467566106689678,79.63433970946942,60.249059505578664,113.48533030417276,7.3327712961970475,1907.1399343583091,9794.558222814436,0.3686450826549113,1.0662153106557593,1.4444936013072955,1.1416646592934472,-0.05002345307754358,8745.641837395027,0.195538266905503,0.058764678901987624,0.037309502119059056,0.7734153381452435,0.28731926897683074,2.162929320838598,8.34023615622,2.796015772676065,3980.001788458124,0.2941527229480169,0.1839164988252468,73.91403907962771,9.554140778979644,-0.3799653648958859,1.5565106560439679,1.5969163698217097,0.058764678901987624,1.0625996464364884,1.3200760112294059,-0.01865681083554651,0.03630800954813813
2016-06-30,8.375250691045856,1.7002389659235089,6.62101322050027,0.2057490430714156,0.07589346514183433,47.303292776871075,59.8464311446438,39.66779630007212,6.478832245785752,1989.8519823953234,9974.460072219952,0.36269327680351615,0.9834423146637641,1.4093495615823795,1.0987068152981672,0.0430407954957388,7725.874786455501,0.213955526157785,0.08391841252039106,0.03325075850779613,0.7645114758926952,0.2859107078122167,1.9948033634674638,7.9020800423690405,2.7947531606851537,3988.172358562171,0.32922655615597246,0.19699032977614633,68.21478860793906,8.854525138209171,-0.33980298520482144,1.5564714745332608,0.08080709624796342,0.08391841252039106,0.9749775013594344,1.3153225768080474,-0.08772845262370862,0.012921590878194689
