,VNR_capital,PVI_capital,PTI_capital,PGI_capital,BIC_capital,ABI_capital,BMI_capital,BHI_capital,BLI_capital,PRE_capital,MIG_capital,AIC_capital
2014-03-31,0.22271300048166154,0.3287914338355412,0.08221739437971767,0.07590338476669732,0.14397340420157026,0.02849064801996706,0.11791073431484493,1.3473048849906867e-19,1.3473048849906867e-19,1.3473048849906867e-19,1.3473048849906867e-19,1.3473048849906867e-19
2014-06-30,0.23379723593660026,0.3592668812717712,0.09060378925904597,0.07001196533592621,0.1152309640237513,0.03192644268438889,0.0991627214885161,1.4750167561903503e-19,1.4750167561903503e-19,1.4750167561903503e-19,1.4750167561903503e-19,1.4750167561903503e-19
2014-09-30,0.22891432269298723,0.30707252323211454,0.09215757521900517,0.0717966450239756,0.1494819029249117,0.03328534850965825,0.1172916823973476,1.362947084124638e-19,1.362947084124638e-19,1.362947084124638e-19,1.362947084124638e-19,1.362947084124638e-19
2014-12-31,0.2405126075577243,0.2836207290570808,0.1220738745235518,0.07567125955517047,0.13762297217741667,0.03309911177591298,0.107399445353143,1.3021713316303537e-19,1.3021713316303537e-19,1.3021713316303537e-19,1.3021713316303537e-19,1.3021713316303537e-19
2015-03-31,0.23697194785695927,0.2750954704568664,0.112504161404708,0.07323086156399913,0.16164936799699717,0.037594757385268504,0.10295343333520156,1.2482653792223983e-19,1.2482653792223983e-19,1.2482653792223983e-19,1.2482653792223983e-19,1.2482653792223983e-19
2015-06-30,0.23823953787053234,0.2458337245257621,0.11347149823716819,0.0895349053850119,0.17197756814328566,0.03372693684699024,0.10721582899124958,1.2177196227358484e-19,1.2177196227358484e-19,1.2177196227358484e-19,1.2177196227358484e-19,1.2177196227358484e-19
2015-09-30,0.18235438734013107,0.2531848562750256,0.12483893628450896,0.08621421901993954,0.19914831886420808,0.03387941602585534,0.12037986619033128,1.0434966990025423e-19,1.0434966990025423e-19,1.0434966990025423e-19,1.0434966990025423e-19,1.0434966990025423e-19
2015-12-31,0.15136898639732743,0.29536968934145624,0.12961416468505046,0.09094258474685216,0.14031800463463187,0.0292898198407965,0.13110701882315137,9.021356889659874e-20,0.031989731530733916,9.021356889659874e-20,9.021356889659874e-20,9.021356889659874e-20
2016-03-31,0.136194224994225,0.2930069762069762,0.1254752598752599,0.08925285285285287,0.16008510048510047,0.039275952875952876,0.1304864864864865,9.240009240009241e-20,0.026223146223146223,9.240009240009241e-20,9.240009240009241e-20,9.240009240009241e-20
2016-06-30,0.13748103292765346,0.2682898523311536,0.14785999474175224,0.08087877674309328,0.17265501382579476,0.04433845066180158,0.12816654159318908,8.325281398673914e-20,0.020330337175561698,8.325281398673914e-20,8.325281398673914e-20,8.325281398673914e-20
2016-09-30,0.12954576874397863,0.24490904305350894,0.12798852053000986,0.09490642352016718,0.2176606781049941,0.035518784837097375,0.13026782762900088,6.957591877261957e-20,0.019202953581243,6.957591877261957e-20,6.957591877261957e-20,6.957591877261957e-20
2016-12-31,0.125750046372841,0.243104108542166,0.12818594093769053,0.0930927213160563,0.2312937874759104,0.04643002362937445,0.11224213425771974,7.042193017778298e-20,0.01990123746824147,7.042193017778298e-20,7.042193017778298e-20,7.042193017778298e-20
2017-03-31,0.13231017227937278,0.27338695593997403,0.11180760741734233,0.08994007310891418,0.2117397022752027,0.048361674775754364,0.11623378298451915,6.186129374111556e-20,0.0162200312189205,6.186129374111556e-20,6.186129374111556e-20,6.186129374111556e-20
2017-06-30,0.11992679371160424,0.26276488352256594,0.10314470607885262,0.0701345695194917,0.19472777851371045,0.060465882633009664,0.10879068347664822,5.646542052000814e-20,0.017244539426810482,5.646542052000814e-20,0.06280016311730681,5.646542052000814e-20
2017-09-30,0.13401482409946966,0.271548597207397,0.09710972835341754,0.07201813199443936,0.17679454511090095,0.049516294195052504,0.11527142925322967,5.757065978106224e-20,0.01661489241281456,5.757065978106224e-20,0.06711155737327877,5.757065978106224e-20
