,PVC_capital,PVS_capital,PVE_capital,PVD_capital,PVB_capital,PTV_capital,TOS_capital,PEQ_capital,POS_capital
2014-03-31,0.022129781644721847,0.26283625953130185,0.0052859490517679145,0.6972283234105168,0.012519686361691665,3.198758881553957e-20,3.198758881553957e-20,3.198758881553957e-20,3.198758881553957e-20
2014-06-30,0.020899871490058314,0.26410094469950435,0.0037737276756188843,0.6987338369550314,0.012491619179787064,3.2254082697597306e-20,3.2254082697597306e-20,3.2254082697597306e-20,3.2254082697597306e-20
2014-09-30,0.030315006042684164,0.27333314982448687,0.0060447907643368165,0.6685466492595419,0.02176040410895033,2.3406740616986706e-20,2.3406740616986706e-20,2.3406740616986706e-20,2.3406740616986706e-20
2014-12-31,0.03366477919633234,0.27274007402959827,0.006909847946702039,0.6628953205148673,0.023789978312499967,3.48982219530406e-20,3.48982219530406e-20,3.48982219530406e-20,3.48982219530406e-20
2015-03-31,0.03939098864573029,0.3087278324506622,0.007685620063840004,0.6200911979907392,0.024104360849028336,4.700685054336394e-20,4.700685054336394e-20,4.700685054336394e-20,4.700685054336394e-20
2015-06-30,0.0414085067422235,0.3106365380002413,0.007422795474459721,0.6144754647295985,0.026056695053476922,3.974723145627695e-20,3.974723145627695e-20,3.974723145627695e-20,3.974723145627695e-20
2015-09-30,0.03963810229559112,0.3223903194639408,0.008182560014814634,0.6058310933310176,0.02395792489463586,5.0902395115487617e-20,5.0902395115487617e-20,5.0902395115487617e-20,5.0902395115487617e-20
2015-12-31,0.04132730040315692,0.3272457755451163,0.00879897045289636,0.5934000579477352,0.02922789565109518,6.434347680362969e-20,6.434347680362969e-20,6.434347680362969e-20,6.434347680362969e-20
2016-03-31,0.03854308959852917,0.3336640978719383,0.009933675266544671,0.5906191740336949,0.02602644398051496,7.159405597509673e-20,7.159405597509673e-20,0.0012135192487778895,7.159405597509673e-20
2016-06-30,0.034565352895567725,0.3181024005406502,0.009179119911719815,0.6190179890670946,0.018426624266781943,5.736949944824886e-20,5.736949944824886e-20,0.0007085133181858733,5.736949944824886e-20
2016-09-30,0.027268793032020924,0.4041045475349541,0.00937553441277474,0.5415130234510053,0.016693775271160644,5.850567496271288e-20,5.850567496271288e-20,0.001044326298084425,5.850567496271288e-20
