,price_to_earning,price_to_book,value_before_ebitda,roe,roa,days_receivable,days_inventory,days_payable,ebit_on_interest,earning_per_share,book_value_per_share,equity_on_total_asset,equity_on_liability,current_payment,quick_payment,eps_change,ebitda_on_stock,gross_profit_margin,operating_profit_margin,post_tax_margin,debt_on_equity,debt_on_asset,debt_on_ebitda,asset_on_equity,capital_balance,cash_on_equity,cash_on_capitalize,cash_circulation,revenue_on_work_capital,capex_on_fixed_asset,revenue_on_asset,post_tax_on_pre_tax,ebit_on_revenue,pre_tax_on_ebit,payable_on_equity,ebitda_on_stock_change,book_value_per_share_change
2014-03-31,1e-15,1e-15,39.668592941434994,0.07437804083389161,0.03082005191602484,47.15515749539516,32.249003111604196,16.821381100552582,1.614209760884129,715.2292973024116,18387.181759498482,0.3215945102084729,0.5368968500920968,1.2642762201105162,0.9178618899447419,0.05316555901289355,2897.5955448664636,0.06902213221952452,0.01613036690681516,0.014202080303499677,1.6714475597789678,0.5452412599631613,25.402877814216325,3.0904825199263226,63.70141571123581,0.1523415195432855,0.11484218413554936,62.85657320663097,8.360624091049903,-0.12942762201105162,1.7737937001841937,1.1368968500920968,0.01613036690681516,1.3631031499079032,1.8988269297973872,-0.01591921427034483,0.017940017305341616
2014-06-30,1e-15,1e-15,30.2718132724375,0.08223882569157864,0.031829820089610265,42.91645514091594,41.50998784795617,14.389029906056033,2.7273700465386126,636.5749915537103,17911.133874131712,0.308518706541408,0.4847257476514008,1.2129676635352011,0.8152742523485992,-0.1828421808584968,3434.1121278104915,0.08719578410753231,0.0451670897181681,0.016144023830034118,1.689338925278197,0.5152742523485991,21.989956963722523,3.243516168232399,60.09789205376616,0.2366022514004921,0.21461097009394395,70.3198322416541,8.942644298887211,-0.08481547289492816,1.6824191588380026,1.1694514953028017,0.0451670897181681,0.3541772429542025,2.017580841161997,0.22366019206243357,-0.026426442988872124
2014-09-30,1e-15,1e-15,37.12725842280637,0.1006619770455387,0.04218099777860052,39.20173084042948,51.23273787486116,12.446547574972232,0.17431044057756429,313.5994076268048,15091.79715845983,0.3283793039614957,0.6256895594224362,1.3094825990373937,0.7743104405775638,-1.2245696964087376,3832.1117178822656,0.08659996297667531,0.020568955942243613,0.002651703072935949,1.4229313217326918,0.5162069603850425,26.512944279896338,3.016206960385043,70.39480747871158,0.1606982136245835,0.13589651980747872,78.14999074416883,9.988101629026287,-0.06983793039614958,1.8189651980747872,1.1256895594224363,0.020568955942243613,-1.3308635690485007,1.7648278415401704,-0.2247777212143651,0.010193076638282115
2014-12-31,1e-15,1e-15,20.845030280665956,0.10003588096116695,0.04001484729427597,31.998762725477,47.512578957650476,11.503093186307495,1.2004536673250992,651.6433176322473,13764.135166814995,0.289011135470707,0.5500618637261498,1.3000824849682,0.7999587575159001,-0.9682168703466539,3956.8928997807634,0.09203134428791596,0.020506805009876488,0.016998762725477002,1.6996700601272003,0.5499381362738501,16.744370400920356,3.4998762725477004,70.50969198376349,0.17404247975862294,0.14951752805574248,67.50845470924048,11.500412424840999,-0.06648989559139551,1.9002062124204997,1.6002474549045997,0.020506805009876488,2.8491545290759515,2.1497319238533503,0.20933276172697474,-0.009011960320388979
2015-03-31,51.6930685168355,1.0794560326291756,22.304838959945027,0.09190328730077804,0.03804832309977168,36.51359918427061,54.72808281426639,9.743200407864695,0.630815951056237,583.184115443442,14399.943320107286,0.2948942433444905,0.5371600203932347,1.2897280163145879,0.7102719836854122,-0.21027502050406757,4191.657903486799,0.11351056236561523,0.04467975971449471,0.018806641101234676,1.7936559306630018,0.557703987764059,13.75589519650655,3.4731119632921774,75.71600203932347,0.12611176379314165,0.10702416154988584,81.4984815906723,10.751056236561524,-0.05420847649236362,1.7217520448651162,1.1897280163145878,0.04467975971449471,0.5743200407864696,2.1410879347416487,0.20883694278810988,0.02439576175381819
2015-06-30,189.62638085716992,1.11189769289771,29.855263804262577,0.082673532529539,0.030665677005679414,36.91445537045495,59.97049546249774,13.237953857954203,1.3323498487499246,457.6724811045134,15583.94658631596,0.29253194780795116,0.469518154318168,1.227138615738626,0.7304818456818318,-0.387875177751157,3460.540484172606,0.10107472012272371,0.03274729387329467,0.015832838502839706,1.8219273827273275,0.5152409228409159,18.435597200796323,3.5338250756250376,71.49458774658933,0.11873254160454352,0.10071386157386258,83.22320158920306,10.225663388863513,-0.13401475226875112,1.6085544629545043,1.169518154318168,0.03274729387329467,0.46617492437496233,2.3219273827273272,-0.1660590090750045,0.05016026475226875
2015-09-30,-8.627968240277815,1.1212494248296154,24.9150483143123,0.04174539812107568,0.020354003701724372,32.725034510223075,53.866543963651296,12.42498849659231,2.2804072722170523,-261.6122866711098,14995.834901854783,0.30402887716423976,0.5424988496592308,1.2424988496592309,0.7383341002271794,-11.275007013467757,3656.443166975831,0.06090393468127822,0.02646663599091282,-0.038925218564746136,1.8725034510223075,0.5191670501135897,15.457121486302174,3.453336400908717,67.0998619591077,0.11476242522785002,0.10412919925965512,74.16658997728206,12.152485045570002,-0.14154993097955387,1.7254141742616667,1.1616658997728204,0.02646663599091282,-2.0579268280101273,2.3320869760791023,0.09807098479486794,-0.02243775882667305
2015-12-31,1.3541809189140956,1.1979153830791653,-1.3039074882193225,-0.1691951747024556,-0.02621350539425434,25.977976825314542,36.35053942543437,8.544486133005869,0.3483893721079441,-4028.9324305375553,6526.4747198769455,0.1759362504939599,0.27772655230875787,0.8962832971450181,0.5913114050555996,3.85431646575424,-108.66592590389337,0.05211943843666479,-0.2580606391522161,-0.31409459809724527,1.9845140921973459,0.4072736389015182,-2.3743854714183126,3.309339984618196,56.20271263644978,0.06715181671007849,0.04312671292538975,54.17601118367659,7.381549483094887,-0.09494380542442307,1.1560806992347339,0.8570851905516629,-0.2580606391522161,0.8025945109903417,2.452254794066533,-1.469222347807243,-0.17247166901076302
2016-03-31,1.8147716865296437,1.1377076191157847,-0.5865819367900129,-0.16599771109556288,-0.02110695917511799,21.97776388497342,46.73879466613691,6.630322214058577,0.0364807838657803,-4105.6304142376575,6653.758733112574,0.19891729999839325,0.33130350697553484,0.954878492332097,0.5124318039400707,0.052312091462693194,111.26308232314295,0.09181425839934443,0.019844193822149057,-0.0680915035925721,1.827866060382088,0.402989452342731,-1.737896194459011,3.075866446004788,63.23593682214759,0.10043870278860717,0.06549281704686047,62.086236337051766,9.925073363258043,-0.07898645500265115,1.2514020452610037,0.8814917171457493,0.019844193822149057,-3.4970527616574185,2.2312807201796065,0.04675493239186863,0.03271026588977326
2016-06-30,3.103292622887614,1.0723623723967757,1.8584560677149753,-0.03905738215423307,0.005595798065116939,26.272339832373405,55.687470712798586,14.247237364240846,2.3932507458968257,-2272.1925659443978,5647.157658566099,0.18300213833642764,0.3185795040008541,0.8942294574379112,0.464005658732183,0.016408825605466547,1751.2894227974539,0.07427599072300091,0.02191295102290185,0.024380668371008787,1.3593102159690136,0.30222612388708636,-0.31292077181785305,2.826699843999312,70.48585613533504,0.10538361043721713,0.06167144653565773,68.40235721191775,7.682179738891625,-0.11951767315779796,1.2266725587078633,0.8704067287901346,0.02191295102290185,6.62164346428296,1.911137440758294,0.054478791617483945,0.008238363712935008
