,VTC_capital,VIE_capital,ST8_capital,SMT_capital,SAM_capital,PMT_capital,POT_capital,ONE_capital,LTC_capital,KST_capital,ELC_capital,CKV_capital,PMJ_capital,VEC_capital,VTE_capital
2014-03-31,0.0048800829160837245,0.006506777221444966,0.033651923679330696,0.018318357337566427,0.6442985287901388,0.007370318553413825,0.042598238738289544,0.009097736964370188,0.016618134435120745,0.0027799853144254033,0.20668149996995058,0.007198416079864813,3.3574701865041105e-19,3.3574701865041105e-19,3.3574701865041105e-19
2014-06-30,0.00493181274181009,0.005628202966926793,0.04088000891988354,0.024948274950082526,0.6232502244241177,0.005910945009146307,0.0716102254439678,0.009920706649613352,0.014704108359841195,0.003082382963631307,0.18575657470383442,0.00937653286714511,3.80541106621149e-19,3.80541106621149e-19,3.80541106621149e-19
2014-09-30,0.004154414858674531,0.004323982812089818,0.03615439978596756,0.016718144147833108,0.6956682296226422,0.0037543600945058727,0.061710802483479675,0.009129036188313377,0.012566869436444044,0.0014507480458863442,0.14805103618580126,0.0063179763383621745,3.1401472854682777e-19,3.1401472854682777e-19,3.1401472854682777e-19
2014-12-31,0.0041793658736296235,0.0043499522358185876,0.03896950674005671,0.030978799274186623,0.6794391625852301,0.0044115528666090476,0.06300070256309168,0.010281935030604459,0.01031731590572513,0.0015921393804303326,0.14578247332534738,0.006697094219270447,3.1590067072030415e-19,3.1590067072030415e-19,3.1590067072030415e-19
2015-03-31,0.004266571419999876,0.005773668787263513,0.03636845290016478,0.03035421458009862,0.6646511656867469,0.006545755476070125,0.06122070075357699,0.00932362602249127,0.008983149377830584,0.0015453054695322933,0.16314463436544266,0.007822755160782525,2.830229797678193e-19,2.830229797678193e-19,2.830229797678193e-19
2015-06-30,0.0049252967084523125,0.0049785431593544986,0.047210965692424244,0.025787551985545363,0.633987742075375,0.009914489157987249,0.0644465460358461,0.012035176971974914,0.007892307278168628,0.0020056163173157162,0.17840282537501032,0.008412939242545572,2.95813616123262e-19,2.95813616123262e-19,2.95813616123262e-19
2015-09-30,0.004919936887842559,0.005055099989156915,0.04384570861658763,0.02628321595669494,0.5718300272939355,0.010066947785893236,0.06497140098957412,0.011128729037329345,0.00690833628940042,0.0013516310131435603,0.2429460630142393,0.010692903126202389,3.0036244736523563e-19,3.0036244736523563e-19,3.0036244736523563e-19
2015-12-31,0.004209214896839407,0.004784943378170024,0.04230623467034071,0.02811545161421472,0.5758422054750784,0.008846316887210952,0.06194042390106226,0.010848430450435749,0.005362093411306396,0.0019617414919413647,0.24559326047975094,0.01018968334364906,2.8431036115092246e-19,2.8431036115092246e-19,2.8431036115092246e-19
2016-03-31,0.0052983775748706675,0.0023294591061931384,0.04251998754576765,0.023237496475995274,0.5978437531798512,0.005060610343661194,0.058926180252936625,0.009101130751930621,0.005953062160271353,0.0015681979603783872,0.23906721149281027,0.00909453315533356,2.537537152715837e-19,2.537537152715837e-19,2.537537152715837e-19
2016-06-30,0.005423518650483301,0.0018788900128311869,0.05329205740035304,0.023519018893107473,0.5639827836834455,0.00535115243850451,0.06003606205705299,0.009354977584894779,0.007747131929656884,0.0017525780791954773,0.254276448403154,0.009894434801463957,0.003490946065856937,2.631498617410627e-19,2.631498617410627e-19
2016-09-30,0.006306047052998126,0.0019131156132741283,0.07251110089353752,0.0289874527481879,0.5233469770093876,0.007378624335902375,0.06232523394135041,0.009779396870207164,0.007025474983199951,0.0023632604634562767,0.26582741446444014,0.008681364967798566,0.0035545366562597463,2.679433632036595e-19,2.679433632036595e-19
2016-12-31,0.006942915241024486,0.0047504156912272786,0.07009645565012866,0.021989480778848446,0.5173152532528048,0.005816333500676619,0.06866679308966177,0.007735845361430447,0.00571291821690078,0.0019632185511256027,0.27793179941160767,0.007910194454170311,0.0031683768003932175,2.388343736162534e-19,2.388343736162534e-19
2017-03-31,0.006380300515758982,0.005515175022096747,0.08306766771298787,0.019680403417630204,0.5323886162942542,0.005946536205742222,0.0720755273780978,0.007233170064927668,0.00431120871008347,0.004599583874637548,0.24902445084957725,0.007843804475870929,0.0019335554783350946,2.403126371283986e-19,2.403126371283986e-19
2017-06-30,0.005628462919127018,0.0053065577608407246,0.08256249512264913,0.01839628367539821,0.5700214169896557,0.0034627023558688624,0.06190290386633024,0.005736848494307591,0.003290586062482116,0.006620190932029238,0.2248101084722836,0.009928118686540246,0.0023333246624873192,2.1677115036114075e-19,2.1677115036114075e-19
2017-09-30,0.006468792858378008,0.008212006518265588,0.07088928866381389,0.02401410999608185,0.566649452334541,0.003727723561317832,0.06555416808920213,0.005733469398899325,0.0038644736556543943,0.006174756819360826,0.17864486257198922,0.011042686798645287,0.002721933618330487,0.046302275115519986,2.333619357279224e-19
2017-12-31,0.006166474139994756,0.013323289014200108,0.06652857311137035,0.021343386518826453,0.5559207651415262,0.0043522744113053706,0.08293213054828304,0.005834935611227852,0.003605125262665912,0.007794480310981241,0.15866018535758664,0.010468637785132635,0.0038815656978268558,0.05918817708907272,2.374917827843157e-19
2018-03-31,0.007138715359452098,0.010431586062487721,0.06063543723472115,0.02276112143593422,0.5693847932876336,0.004463510616386391,0.07345587077581413,0.006331967983164858,0.003938601577628743,0.0074776348792661654,0.15591986563089694,0.013024023091240941,0.003887228513572717,0.06114964355180046,2.3783825951864394e-19
2018-06-30,0.00832302507829723,0.015239559381988984,0.06057570294914841,0.03645412856562156,0.5755793016077787,0.0036983494598920867,0.07825961964986107,0.006715607050176688,0.00391035347225478,0.00868623972888216,0.12552930163353856,0.014106123592929627,0.002151467206869033,0.05088559974981981,0.009885620872941332
2018-09-30,0.006076530586637943,0.01218891091125015,0.06940748270070896,0.027840906510814317,0.6030403923777722,0.004485280217086895,0.06945576034784762,0.0060041141159299285,0.004287628661722112,0.0074854252890265635,0.11049247741048263,0.012963265251494278,0.0025166516057934137,0.046269105819105566,0.017486068194327572
2018-12-31,0.006175251891974465,0.02207356582288955,0.07354494592994763,0.028341745644798903,0.5862861289152256,0.004565943823156878,0.07309991025453344,0.006617232402568887,0.00409901279986761,0.00846280655078257,0.09522363169988099,0.013809344985392496,0.002680907129354406,0.055756757960932095,0.019262814188694622
2019-03-31,0.006311433421792266,0.012818920928371388,0.06647062933863919,0.0325839375401848,0.61988279987352,0.004507735841753186,0.06768189169067491,0.006532873997045114,0.003931135751367225,0.007254001137113691,0.08102839918823554,0.013241191264835387,0.0026964977199915342,0.06055055003224837,0.014508002274227383
